idx,Power Constraint (kW),Specified Cell Count,Flight Level (100x ft),current_A (Value),cathode_rh_in_perc (Value),stoich_cathode (Value),pressure_cathode_in_bara (Value),temp_coolant_inlet_degC (Value),temp_coolant_outlet_degC (Value),current_A (Lower Bound),cathode_rh_in_perc (Lower Bound),stoich_cathode (Lower Bound),pressure_cathode_in_bara (Lower Bound),temp_coolant_inlet_degC (Lower Bound),temp_coolant_outlet_degC (Lower Bound),current_A (Upper Bound),cathode_rh_in_perc (Upper Bound),stoich_cathode (Upper Bound),pressure_cathode_in_bara (Upper Bound),temp_coolant_inlet_degC (Upper Bound),temp_coolant_outlet_degC (Upper Bound),Hydrogen Consumption (g/s),Cell Voltage (V),System Power (kW),Compressor Power (kW),Turbine Power (kW),Recirculation Pump Power (kW),Coolant Pump Power (kW),Stack Power (kW),turbine (t/f),eol (t/f),converged (t/f)
58,50.0,450,120,153.9547,62.1205,1.6,3.1545,60.0424,64.4822,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.7238,0.8157,49.99,8.58,2.18,0.04,0.07,56.51,True,False,True
59,50.0,450,120,161.9809,63.6129,1.6,3.031,60.0417,64.6976,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.7615,0.7763,49.99,8.76,2.3,0.05,0.08,56.58,True,True,True
5,20.0,400,30,65.3926,78.2878,4.9958,1.2348,60.006,62.5267,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.2733,0.7672,19.99,1.89,1.89,0.04,0.04,20.07,True,True,True
60,50.0,450,150,155.3749,62.1106,1.6,3.1405,60.0142,64.3473,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.7305,0.8149,49.99,9.24,2.38,0.05,0.07,56.98,True,False,True
61,50.0,450,150,163.5734,88.4488,1.6001,1.1002,60.0011,64.7379,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.769,0.6932,49.99,3.31,2.53,0.13,0.12,51.03,True,True,True
62,50.0,500,0,133.0027,62.1917,1.6001,3.2096,60.0375,64.2737,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.6948,0.824,49.99,6.11,1.41,0.04,0.07,54.8,True,False,True
63,50.0,500,0,139.2902,83.8883,3.0215,1.2781,60.0081,64.4978,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.7276,0.7209,49.99,2.82,2.82,0.11,0.11,50.21,True,True,True
64,50.0,500,30,134.0793,61.4095,1.6001,3.2044,60.0407,64.3409,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.7004,0.8235,49.99,6.7,1.59,0.04,0.07,55.21,True,False,True
65,50.0,500,30,139.8497,62.4061,1.6,3.0943,60.0537,64.7028,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.7305,0.7894,49.99,6.77,1.67,0.05,0.07,55.2,True,True,True
66,50.0,500,60,135.787,84.001,3.0907,1.1004,60.0093,64.0834,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.7093,0.7398,49.99,3.46,3.46,0.12,0.12,50.23,True,False,True
67,50.0,500,60,141.3231,85.7915,2.9275,1.1058,60.0009,64.4548,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.7382,0.7109,49.99,3.43,3.43,0.12,0.12,50.24,True,True,True
68,50.0,500,90,136.3509,62.3482,1.6001,3.1174,60.0163,64.2597,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.7122,0.8203,49.99,7.78,1.97,0.04,0.07,55.92,True,False,True
