idx,Power Constraint (kW),Specified Cell Count,Flight Level (100x ft),current_A (Value),cathode_rh_in_perc (Value),stoich_cathode (Value),pressure_cathode_in_bara (Value),temp_coolant_inlet_degC (Value),temp_coolant_outlet_degC (Value),current_A (Lower Bound),cathode_rh_in_perc (Lower Bound),stoich_cathode (Lower Bound),pressure_cathode_in_bara (Lower Bound),temp_coolant_inlet_degC (Lower Bound),temp_coolant_outlet_degC (Lower Bound),current_A (Upper Bound),cathode_rh_in_perc (Upper Bound),stoich_cathode (Upper Bound),pressure_cathode_in_bara (Upper Bound),temp_coolant_inlet_degC (Upper Bound),temp_coolant_outlet_degC (Upper Bound),Hydrogen Consumption (g/s),Cell Voltage (V),System Power (kW),Compressor Power (kW),Turbine Power (kW),Recirculation Pump Power (kW),Coolant Pump Power (kW),Stack Power (kW),turbine (t/f),eol (t/f),converged (t/f)
10,20.0,400,120,66.2992,82.3121,2.5735,1.1002,60.0099,62.7683,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.2771,0.7648,19.99,1.53,1.32,0.04,0.03,20.28,True,False,True
110,125.0,400,0,498.8716,68.5456,1.6001,3.2999,60.0015,68.1564,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.0847,0.7066,124.99,19.99,4.56,0.2,0.39,141.0,True,False,True
111,125.0,400,0,748.496,86.7226,1.6,3.3,60.0011,73.3285,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.1279,0.504,124.93,32.29,7.52,0.47,0.73,150.89,True,True,True
112,125.0,400,30,505.4266,69.2518,1.6,3.3,60.0072,68.1696,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.1121,0.7045,124.99,21.97,5.14,0.21,0.4,142.42,True,False,True
113,125.0,400,30,822.8745,96.1422,1.6,3.3,60.0003,74.6729,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.4387,0.4725,124.21,39.19,9.31,0.59,0.82,155.51,True,True,True
114,125.0,400,60,512.4229,69.7032,1.6,3.2998,60.0102,68.2562,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.1414,0.7021,124.99,24.04,5.74,0.21,0.41,143.91,True,False,True
115,125.0,400,60,819.9057,95.1291,1.6,3.3,60.0013,74.5189,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.4263,0.4738,122.23,41.83,10.09,0.59,0.83,155.38,True,True,True
116,125.0,400,90,519.8449,69.6145,1.6,3.2997,60.0038,68.5438,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.1724,0.6994,124.99,26.22,6.39,0.22,0.39,145.43,True,False,True
117,125.0,400,90,813.2561,94.0881,1.6,3.3,60.0007,74.3366,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.3985,0.4766,120.22,44.23,10.81,0.58,0.83,155.04,True,True,True
118,125.0,400,120,527.7772,69.8325,1.6,3.3,60.0055,68.3159,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.2055,0.6971,124.99,28.5,7.0,0.22,0.45,147.16,True,False,True
119,125.0,400,120,805.0971,92.7003,1.6,3.3,60.0009,74.2874,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.3644,0.4799,118.19,46.52,11.52,0.56,0.81,154.56,True,True,True
11,20.0,400,120,67.5051,80.4584,2.525,1.1003,60.0082,62.9131,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.2821,0.7511,19.99,1.53,1.32,0.04,0.03,20.28,True,True,True
120,125.0,400,150,536.2507,69.974,1.6,3.2999,60.0048,68.481,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.2409,0.6941,124.98,30.91,7.68,0.23,0.45,148.89,True,False,True
121,125.0,400,150,796.3282,91.2073,1.6,3.3,60.0003,74.0881,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.3278,0.4837,116.14,48.76,12.18,0.55,0.8,154.06,True,True,True
122,125.0,450,0,426.9638,66.3652,1.6001,3.2999,60.0018,67.7668,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.0073,0.7302,124.98,19.16,4.36,0.17,0.35,140.3,True,False,True
123,125.0,450,0,538.8626,71.3313,1.6001,3.2997,60.0026,70.7385,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.5333,0.5977,124.97,25.01,5.82,0.26,0.51,144.94,True,True,True
124,125.0,450,30,432.038,66.9847,1.6,3.2999,60.0118,67.6372,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.0311,0.7287,124.99,21.03,4.9,0.18,0.38,141.68,True,False,True
125,125.0,450,30,552.3084,71.855,1.6,3.2999,60.0015,70.9132,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.5965,0.5915,124.98,27.83,6.62,0.28,0.54,147.0,True,True,True
126,125.0,450,60,437.3391,67.7165,1.6,3.2998,60.0152,67.8647,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.056,0.7268,124.99,22.98,5.48,0.18,0.37,143.03,True,False,True
127,125.0,450,60,567.6226,72.4874,1.6,3.2999,60.0094,71.2809,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.6685,0.5842,124.98,30.91,7.5,0.29,0.55,149.23,True,True,True
128,125.0,450,90,442.9905,67.3651,1.6001,3.3,60.0023,67.7864,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.0826,0.7251,124.99,25.02,6.06,0.18,0.4,144.54,True,False,True
129,125.0,450,90,585.499,72.5678,1.6,3.2999,60.0024,71.3927,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.7526,0.5761,124.97,34.33,8.42,0.31,0.6,151.79,True,True,True
12,20.0,400,150,66.8181,82.0425,1.602,1.1001,60.0025,62.5729,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.2792,0.7609,19.99,1.16,0.89,0.04,0.04,20.34,True,False,True
130,125.0,450,120,448.9356,66.8302,1.6001,3.2996,60.0135,68.0471,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.1106,0.7228,124.99,27.15,6.68,0.19,0.38,146.03,True,False,True
131,125.0,450,120,607.1567,74.0273,1.6,3.2999,60.0015,71.7597,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.8544,0.5661,124.97,38.22,9.47,0.34,0.63,154.68,True,True,True
132,125.0,450,150,455.2345,67.3385,1.6,3.3,60.0057,68.0477,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.1402,0.7208,124.99,29.38,7.29,0.19,0.4,147.67,True,False,True
133,125.0,450,150,635.0438,76.2444,1.6,3.2999,60.0022,72.1296,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.9855,0.5535,124.96,42.85,10.69,0.37,0.69,158.18,True,True,True
134,125.0,500,0,374.1833,65.5636,1.6001,3.2997,60.0068,67.6418,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.9546,0.7473,124.99,18.6,4.24,0.15,0.31,139.82,True,False,True
135,125.0,500,0,446.1074,67.2385,1.6,3.2997,60.0138,69.7513,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.3303,0.6414,124.98,22.69,5.25,0.21,0.44,143.06,True,True,True
136,125.0,500,30,378.2875,65.5579,1.6,3.2997,60.0025,67.6523,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.976,0.746,124.99,20.4,4.77,0.16,0.32,141.1,True,False,True
137,125.0,500,30,454.1751,68.0705,1.6001,3.2996,60.0111,69.8236,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.3724,0.6376,124.98,25.06,5.94,0.21,0.46,144.78,True,True,True
138,125.0,500,60,382.6155,66.0325,1.6,3.2999,60.0079,67.72,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.9986,0.7445,124.99,22.27,5.32,0.16,0.33,142.44,True,False,True
139,125.0,500,60,462.9441,67.8062,1.6,3.2998,60.0131,70.1092,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.4182,0.6332,124.98,27.58,6.67,0.22,0.46,146.57,True,True,True
13,20.0,400,150,68.0471,81.8115,1.6014,1.1002,60.0029,62.753,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.2844,0.7472,19.99,1.18,0.91,0.05,0.04,20.34,True,True,True
140,125.0,500,90,387.149,65.9329,1.6001,3.2999,60.0094,67.7689,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.0223,0.743,124.99,24.22,5.88,0.16,0.34,143.83,True,False,True
141,125.0,500,90,472.5605,68.9726,1.6,3.2998,60.0076,70.1328,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.4685,0.6287,124.98,30.27,7.42,0.23,0.49,148.55,True,True,True
142,125.0,500,120,391.9474,65.8534,1.6,3.2995,60.0093,67.8746,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.0474,0.7414,124.99,26.26,6.46,0.17,0.34,145.29,True,False,True
143,125.0,500,120,483.2252,69.6259,1.6001,3.2998,60.0036,70.2381,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.5242,0.6237,124.98,33.17,8.22,0.24,0.52,150.68,True,True,True
144,125.0,500,150,397.001,65.2974,1.6,3.2999,60.0007,67.9367,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.0738,0.7397,124.99,28.38,7.06,0.17,0.34,146.83,True,False,True
145,125.0,500,150,495.1546,69.9603,1.6,3.2996,60.0018,70.4355,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.5865,0.618,124.98,36.3,9.07,0.25,0.54,152.99,True,True,True
146,150.0,400,0,661.2301,76.3484,1.6,3.3,60.0031,69.7236,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.7632,0.6523,149.99,27.73,6.23,0.36,0.68,172.52,True,False,True
147,150.0,400,0,841.0525,99.0788,1.6,3.2999,60.0026,74.9632,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.5147,0.465,126.2,37.45,8.69,0.63,0.85,156.43,True,True,True
148,150.0,400,30,673.5651,77.9012,1.6,3.2999,60.0011,70.0105,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.8148,0.6479,149.98,30.62,7.07,0.37,0.67,174.57,True,False,True
149,150.0,400,30,832.3601,97.7882,1.6,3.3,60.0037,74.8307,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.4783,0.4685,124.22,39.77,9.44,0.61,0.83,156.0,True,True,True
14,20.0,450,0,56.6094,75.9079,4.9897,1.3257,60.0083,62.4928,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.2661,0.7875,19.99,1.63,1.63,0.04,0.03,20.06,True,False,True
150,150.0,400,60,687.0538,77.8262,1.6,3.2998,60.0001,70.0539,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.8711,0.6435,149.98,33.7,7.92,0.39,0.71,176.86,True,False,True
151,150.0,400,60,823.4626,95.241,1.6,3.3,60.0002,74.6431,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.4412,0.4722,122.23,42.05,10.15,0.59,0.83,155.55,True,True,True
152,150.0,400,90,702.0422,79.649,1.6,3.3,60.0004,70.1829,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.9338,0.6386,149.98,37.01,8.83,0.41,0.75,179.32,True,False,True
153,150.0,400,90,814.5634,94.0902,1.6,3.3,60.0025,74.4374,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.404,0.476,120.22,44.32,10.85,0.58,0.82,155.09,True,True,True
154,150.0,400,120,718.7263,80.1743,1.6,3.3,60.0029,70.3428,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.0035,0.633,149.98,40.58,9.79,0.43,0.78,181.98,True,False,True
155,150.0,400,120,805.9626,92.867,1.6,3.3,60.0001,74.3711,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.368,0.4795,118.19,46.58,11.55,0.56,0.8,154.59,True,True,True
156,150.0,400,150,737.7725,82.6511,1.6,3.2999,60.0002,70.6595,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.0831,0.6265,149.98,44.5,10.85,0.45,0.8,184.89,True,False,True
157,150.0,400,150,796.6524,90.5633,1.6,3.2999,60.0008,74.0304,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.3291,0.4836,116.13,48.78,12.18,0.55,0.81,154.1,True,True,True
158,150.0,450,0,550.8866,69.3908,1.6,3.3,60.0096,69.0311,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.5899,0.6888,149.99,25.67,5.76,0.27,0.58,170.75,True,False,True
159,150.0,450,0,824.0944,96.2996,1.6,3.3,60.0027,75.4851,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.8743,0.4712,140.17,42.59,9.67,0.67,0.99,174.75,True,True,True
15,20.0,450,0,57.4697,76.2628,4.9958,1.3265,60.0089,62.7391,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.2702,0.7756,19.99,1.67,1.67,0.04,0.03,20.06,True,True,True
160,150.0,450,30,559.0709,71.3837,1.6,3.3,60.0018,69.1624,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.6283,0.686,149.99,28.23,6.51,0.28,0.59,172.59,True,False,True
161,150.0,450,30,814.3205,94.3035,1.6,3.2999,60.0013,75.2798,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.8283,0.4753,137.98,45.03,10.46,0.65,0.98,174.18,True,True,True
162,150.0,450,60,567.8215,71.5912,1.6,3.3,60.0011,69.3377,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.6695,0.683,149.99,30.92,7.28,0.29,0.59,174.51,True,False,True
163,150.0,450,60,807.3699,93.5651,1.6,3.3,60.0073,75.1057,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.7956,0.4783,135.76,47.65,11.27,0.64,0.98,173.76,True,True,True
164,150.0,450,90,577.2605,71.9216,1.6,3.3,60.007,69.296,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.7138,0.68,149.99,33.77,8.06,0.3,0.64,176.63,True,False,True
165,150.0,450,90,798.3711,91.9478,1.6,3.3,60.0027,74.9669,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.7533,0.482,133.53,50.11,12.04,0.62,0.96,173.17,True,True,True
166,150.0,450,120,587.4695,72.7191,1.6,3.2999,60.0008,69.5839,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.7618,0.6763,149.99,36.78,8.92,0.31,0.63,178.79,True,False,True
167,150.0,450,120,790.5404,91.606,1.6,3.3,60.0004,74.8931,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.7165,0.4853,131.28,52.64,12.82,0.61,0.93,172.63,True,True,True
168,150.0,450,150,598.5708,72.9813,1.6001,3.2996,60.0054,69.6528,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.814,0.6726,149.99,39.99,9.78,0.32,0.66,181.18,True,False,True
169,150.0,450,150,780.393,89.629,1.6,3.3,60.0022,74.5647,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.6688,0.4897,129.0,54.95,13.51,0.59,0.94,171.97,True,True,True
16,20.0,450,30,57.5933,64.1569,1.6001,2.8116,60.0306,62.6107,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.2708,0.8373,19.99,2.26,0.6,0.02,0.03,21.7,True,False,True
170,150.0,500,0,475.5975,68.7274,1.6,3.2999,60.0084,68.6663,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.4843,0.7136,149.99,24.44,5.49,0.23,0.51,169.69,True,False,True
171,150.0,500,0,672.9144,78.9182,1.6,3.2999,60.0011,73.4516,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.515,0.5358,149.95,37.46,8.47,0.47,0.88,180.28,True,True,True
172,150.0,500,30,481.797,68.322,1.6,3.2997,60.0043,68.7984,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.5167,0.7114,149.99,26.83,6.19,0.24,0.51,171.38,True,False,True
173,150.0,500,30,717.5236,82.9357,1.6,3.2999,60.002,74.2214,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.7481,0.5161,149.93,43.8,10.07,0.54,0.97,185.16,True,True,True
174,150.0,500,60,488.3825,67.5686,1.6001,3.2999,60.0055,68.797,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.5511,0.7093,149.99,29.33,6.9,0.24,0.54,173.2,True,False,True
175,150.0,500,60,785.5735,91.0605,1.6,3.3,60.0012,75.5376,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,4.1035,0.4867,148.87,52.79,12.26,0.67,1.09,191.16,True,True,True
176,150.0,500,90,495.4014,69.7059,1.6,3.2998,60.0039,69.0378,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.5878,0.7068,149.99,31.96,7.66,0.25,0.53,175.06,True,False,True
177,150.0,500,90,780.7588,90.7447,1.6,3.3,60.0003,75.4301,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,4.0784,0.4887,146.43,55.79,13.17,0.66,1.09,190.79,True,True,True
178,150.0,500,120,502.8714,69.1069,1.6,3.2998,60.0105,69.1441,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.6268,0.7042,149.99,34.71,8.43,0.26,0.54,177.07,True,False,True
179,150.0,500,120,773.6889,89.7938,1.6,3.3,60.0025,75.2465,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,4.0414,0.4918,143.96,58.57,14.01,0.64,1.08,190.25,True,True,True
17,20.0,450,30,57.8115,77.8809,4.9977,1.2341,60.001,62.4057,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.2718,0.7715,19.99,1.87,1.87,0.04,0.04,20.07,True,True,True
180,150.0,500,150,510.875,69.9378,1.6,3.3,60.0101,69.1792,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,2.6686,0.7016,149.99,37.62,9.22,0.26,0.57,179.21,True,False,True
181,150.0,500,150,765.9777,88.4034,1.6,3.3,60.0014,75.1333,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,4.0012,0.4951,141.46,61.29,14.83,0.63,1.06,189.61,True,True,True
182,175.0,400,0,946.4341,99.9952,1.6,3.3,60.0007,72.9892,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.955,0.5583,174.96,43.79,9.46,0.83,1.24,211.36,True,False,True
183,175.0,400,0,840.7088,99.6639,1.6,3.3,60.0005,75.0042,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.5132,0.4651,126.2,37.43,8.7,0.62,0.84,156.4,True,True,True
184,175.0,400,30,1010.4646,99.9933,1.6,3.3,60.0009,73.6736,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,4.2226,0.5379,174.91,51.35,11.26,0.99,1.4,217.39,True,False,True
185,175.0,400,30,832.7882,97.5529,1.6,3.3,60.004,74.7189,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.4801,0.4685,124.22,39.8,9.43,0.61,0.85,156.06,True,True,True
186,175.0,400,60,1084.598,99.9978,1.6,3.3,60.0007,74.3829,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,4.5324,0.5145,173.31,60.39,13.33,1.2,1.63,223.21,True,False,True
187,175.0,400,60,823.6769,96.5562,1.6,3.3,60.0035,74.5559,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.4421,0.4722,122.23,42.07,10.14,0.59,0.84,155.59,True,True,True
188,175.0,400,90,1076.9101,99.9965,1.6,3.3,60.0002,74.3298,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,4.5003,0.5169,170.6,63.61,14.33,1.18,1.6,222.65,True,False,True
189,175.0,400,90,812.0294,93.421,1.6,3.3,60.0009,74.4111,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.3934,0.477,120.22,44.15,10.81,0.57,0.82,154.95,True,True,True
18,20.0,450,60,57.2587,78.1045,4.9986,1.1515,60.0087,62.54,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.2692,0.7788,19.99,2.07,2.07,0.04,0.03,20.07,True,False,True
190,175.0,400,120,1068.1143,99.9984,1.6,3.3,60.0002,74.2151,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,4.4635,0.5197,167.84,66.74,15.28,1.15,1.58,222.03,True,False,True
191,175.0,400,120,807.2218,93.3168,1.6,3.2999,60.0029,74.346,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.3733,0.479,118.19,46.67,11.56,0.57,0.81,154.67,True,True,True
192,175.0,400,150,1057.0503,99.9975,1.6,3.3,60.0002,74.1921,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,4.4173,0.5231,165.05,69.67,16.2,1.12,1.52,221.16,True,False,True
193,175.0,400,150,796.9856,91.6702,1.6,3.3,60.0003,74.1285,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.3305,0.4834,116.13,48.81,12.2,0.55,0.8,154.09,True,True,True
194,175.0,450,0,716.2991,80.5943,1.6,3.2999,60.001,71.1329,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.3675,0.6329,174.99,35.45,7.79,0.48,0.88,204.0,True,False,True
195,175.0,450,0,824.1005,96.1653,1.6,3.3,60.0019,75.5571,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.8743,0.4712,140.17,42.59,9.68,0.67,0.98,174.73,True,True,True
196,175.0,450,30,732.4908,82.3737,1.6,3.3,60.002,71.216,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.4436,0.6276,174.98,39.26,8.82,0.5,0.94,206.87,True,False,True
197,175.0,450,30,815.0883,95.0532,1.6,3.3,60.0031,75.2818,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.8319,0.475,137.98,45.09,10.47,0.65,0.98,174.23,True,True,True
198,175.0,450,60,750.8583,84.6954,1.6,3.3,60.0,71.3605,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.53,0.6215,174.97,43.43,9.93,0.53,1.0,210.0,True,False,True
199,175.0,450,60,806.9252,95.0139,1.6,3.2999,60.002,75.2259,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.7936,0.4783,135.76,47.62,11.29,0.64,0.95,173.69,True,True,True
19,20.0,450,60,58.1472,79.8972,4.9967,1.1509,60.0014,62.5998,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.2734,0.7671,19.99,2.1,2.1,0.04,0.03,20.07,True,True,True
1,20.0,400,0,63.8991,76.8799,4.9999,1.3251,60.0056,62.4633,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.267,0.7849,19.99,1.64,1.64,0.04,0.03,20.06,True,False,True
200,175.0,450,90,772.0792,85.8631,1.6,3.3,60.0084,71.8046,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.6297,0.6142,174.98,48.02,11.17,0.57,1.01,213.4,True,False,True
201,175.0,450,90,798.1156,93.1235,1.6,3.3,60.001,74.9544,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.7521,0.4821,133.53,50.09,12.04,0.62,0.96,173.16,True,True,True
202,175.0,450,120,797.1432,89.1983,1.6,3.3,60.0046,72.0048,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.7476,0.606,174.97,53.19,12.48,0.61,1.09,217.39,True,False,True
203,175.0,450,120,790.5877,90.9369,1.6,3.3,60.0015,74.8443,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.7167,0.4853,131.28,52.64,12.82,0.61,0.94,172.65,True,True,True
204,175.0,450,150,827.9244,93.1523,1.6,3.3,60.0001,72.4373,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,3.8923,0.5958,174.96,59.18,13.99,0.67,1.15,221.97,True,False,True
