idx,Power Constraint (kW),Specified Cell Count,Flight Level (100x ft),current_A (Value),cathode_rh_in_perc (Value),stoich_cathode (Value),pressure_cathode_in_bara (Value),temp_coolant_inlet_degC (Value),temp_coolant_outlet_degC (Value),current_A (Lower Bound),cathode_rh_in_perc (Lower Bound),stoich_cathode (Lower Bound),pressure_cathode_in_bara (Lower Bound),temp_coolant_inlet_degC (Lower Bound),temp_coolant_outlet_degC (Lower Bound),current_A (Upper Bound),cathode_rh_in_perc (Upper Bound),stoich_cathode (Upper Bound),pressure_cathode_in_bara (Upper Bound),temp_coolant_inlet_degC (Upper Bound),temp_coolant_outlet_degC (Upper Bound),Hydrogen Consumption (g/s),Cell Voltage (V),System Power (kW),Compressor Power (kW),Turbine Power (kW),Recirculation Pump Power (kW),Coolant Pump Power (kW),Stack Power (kW),turbine (t/f),eol (t/f)
51,50.0,400,80,175.1524,61.4252,1.6,3.2999,60.0014,65.8329,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.7319,0.8121,49.92,8.7,2.01,0.08,0.2,56.89,True,False
52,50.0,400,80,215.3862,63.0765,1.6,3.2573,60.0012,67.6956,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.9001,0.6769,49.9,10.6,2.54,0.1,0.25,58.31,True,True
53,50.0,400,100,176.2323,61.5853,1.6,3.3,60.0012,65.835,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.7365,0.8117,49.92,9.16,2.14,0.08,0.2,57.22,True,False
54,50.0,400,100,217.0552,63.029,1.6,3.234,60.0016,67.73,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.907,0.6757,49.9,11.12,2.71,0.1,0.26,58.67,True,True
55,50.0,400,120,177.343,61.5981,1.6,3.2999,60.0004,65.8032,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.7411,0.8114,49.92,9.63,2.28,0.08,0.21,57.56,True,False
56,50.0,400,120,218.7695,63.6415,1.6,3.2155,60.002,67.6561,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.9142,0.6748,49.9,11.67,2.88,0.1,0.26,59.05,True,True
57,50.0,450,0,150.805,61.288,1.6,3.2999,60.0012,65.8363,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.709,0.8196,49.92,6.91,1.48,0.08,0.19,55.62,True,False
58,50.0,450,0,183.8471,62.9833,1.6,3.2227,60.0027,67.6237,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.8643,0.6844,49.9,8.25,1.87,0.1,0.24,56.62,True,True
59,50.0,450,20,151.6495,61.3388,1.6,3.2999,60.0006,65.8416,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.7129,0.8193,49.93,7.32,1.61,0.08,0.19,55.91,True,False
5,20.0,400,40,66.0429,61.3952,1.6,3.1814,60.0066,65.3043,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.276,0.8429,19.93,2.9,0.66,0.03,0.07,22.27,True,False
60,50.0,450,20,185.1149,63.2915,1.6,3.2046,60.002,67.6018,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.8703,0.6836,49.9,8.73,2.03,0.1,0.24,56.95,True,True
61,50.0,450,40,152.508,61.5971,1.6,3.2998,60.0037,65.8503,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.717,0.8191,49.92,7.75,1.73,0.08,0.19,56.21,True,False
62,50.0,450,40,186.4262,63.4479,1.6,3.1819,60.0048,67.5451,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.8764,0.6827,49.9,9.2,2.18,0.1,0.25,57.27,True,True
63,50.0,450,60,153.3861,61.6764,1.6,3.2998,60.0044,65.8573,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.7211,0.8188,49.92,8.18,1.86,0.08,0.19,56.51,True,False
64,50.0,450,60,187.7647,63.5943,1.6,3.1701,60.0011,67.5423,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.8827,0.682,49.9,9.71,2.34,0.1,0.25,57.63,True,True
65,50.0,450,80,154.2909,61.4477,1.6,3.2997,60.0032,65.8397,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.7254,0.8185,49.92,8.62,1.99,0.08,0.2,56.83,True,False
66,50.0,450,80,189.1445,64.021,1.6,3.1319,60.0022,67.4847,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.8892,0.6807,49.9,10.17,2.5,0.1,0.26,57.93,True,True
67,50.0,450,100,155.2235,61.5215,1.6,3.2998,60.0067,65.857,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.7297,0.8182,49.92,9.07,2.12,0.08,0.2,57.15,True,False
68,50.0,450,100,190.5563,64.0659,1.6,3.1134,60.0019,67.5626,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.8959,0.6797,49.9,10.69,2.67,0.11,0.26,58.28,True,True
69,50.0,450,120,156.1677,61.2029,1.6,3.2998,60.0091,65.8012,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.7342,0.818,49.92,9.54,2.25,0.08,0.2,57.48,True,False
70,50.0,450,120,192.0189,64.0797,1.6,3.0821,60.0023,67.5181,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.9027,0.6784,49.9,11.19,2.84,0.11,0.26,58.62,True,True
71,50.0,500,0,134.8187,61.5322,1.6,3.2999,60.0019,65.7914,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.7042,0.8246,49.93,6.86,1.47,0.08,0.19,55.58,True,False
72,50.0,500,0,162.1618,86.43,5.0,1.1,60.0005,67.0781,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.8471,0.6224,49.91,5.72,5.72,0.27,0.29,50.47,True,True
73,50.0,500,20,135.5613,61.4121,1.6,3.2998,60.0002,65.8136,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.7081,0.8243,49.93,7.27,1.6,0.08,0.19,55.87,True,False
74,50.0,500,20,164.3542,90.4365,5.0,1.1,60.2939,74.6368,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.8585,0.6123,49.91,7.08,7.08,0.28,0.13,50.32,True,True
75,50.0,500,40,136.3131,61.2788,1.6,3.2998,60.0029,65.7795,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.712,0.8241,49.92,7.69,1.72,0.08,0.19,56.17,True,False
