idx,Power Constraint (kW),Specified Cell Count,Flight Level (100x ft),current_A (Value),cathode_rh_in_perc (Value),stoich_cathode (Value),pressure_cathode_in_bara (Value),temp_coolant_inlet_degC (Value),temp_coolant_outlet_degC (Value),current_A (Lower Bound),cathode_rh_in_perc (Lower Bound),stoich_cathode (Lower Bound),pressure_cathode_in_bara (Lower Bound),temp_coolant_inlet_degC (Lower Bound),temp_coolant_outlet_degC (Lower Bound),current_A (Upper Bound),cathode_rh_in_perc (Upper Bound),stoich_cathode (Upper Bound),pressure_cathode_in_bara (Upper Bound),temp_coolant_inlet_degC (Upper Bound),temp_coolant_outlet_degC (Upper Bound),Hydrogen Consumption (g/s),Cell Voltage (V),System Power (kW),Compressor Power (kW),Turbine Power (kW),Recirculation Pump Power (kW),Coolant Pump Power (kW),Stack Power (kW),turbine (t/f),eol (t/f)
119,80.0,500,60,228.5352,62.5385,1.6,3.3,60.0026,66.3957,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.1938,0.7948,79.92,13.54,3.11,0.13,0.34,90.83,True,False
11,20.0,400,100,67.1252,61.9841,1.6,3.1328,60.006,65.2493,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.2805,0.8413,19.93,3.36,0.81,0.03,0.07,22.59,True,False
120,80.0,500,60,283.0297,63.9849,1.6,3.3,60.0012,68.7135,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.4784,0.659,79.89,16.77,3.99,0.17,0.42,93.25,True,True
121,80.0,500,80,229.9827,62.3322,1.6,3.3,60.0007,66.4228,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.2013,0.7944,79.92,14.28,3.33,0.13,0.34,91.34,True,False
122,80.0,500,80,285.3792,63.8432,1.6,3.2999,60.0013,68.6671,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.4907,0.6584,79.89,17.72,4.27,0.17,0.43,93.94,True,True
123,80.0,500,100,231.4752,62.3,1.6,3.2999,60.0018,66.4668,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.2091,0.7938,79.91,15.04,3.55,0.13,0.34,91.88,True,False
124,80.0,500,100,287.7711,64.2352,1.6,3.2998,60.0008,68.6726,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.5032,0.6577,79.89,18.69,4.55,0.17,0.44,94.64,True,True
125,80.0,500,120,233.0181,62.6189,1.6,3.3,60.0001,66.5143,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.2172,0.7933,79.91,15.81,3.77,0.14,0.34,92.43,True,False
126,80.0,500,120,290.2518,63.9959,1.6,3.2999,60.0009,68.6745,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.5162,0.6571,79.89,19.69,4.84,0.17,0.44,95.36,True,True
127,125.0,400,0,501.8615,68.9041,1.6,3.3,60.0012,68.1035,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.0972,0.7057,124.89,20.44,4.59,0.23,0.69,141.67,True,False
129,125.0,400,20,506.0771,68.9865,1.6,3.3,60.0012,68.1398,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.1148,0.7043,124.88,21.73,4.97,0.24,0.7,142.57,True,False
12,20.0,400,100,81.0643,83.5338,1.6,1.1,60.0002,65.5119,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.3388,0.6389,19.91,1.55,0.99,0.11,0.13,20.72,True,True
130,125.0,400,20,673.423,78.3195,1.6,3.3,60.0004,71.3204,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.8142,0.5495,124.81,28.91,6.99,0.32,0.98,148.03,True,True
131,125.0,400,40,510.5106,69.2546,1.6,3.3,60.0001,68.1688,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.1334,0.7028,124.89,23.05,5.37,0.24,0.71,143.52,True,False
133,125.0,400,60,515.0272,69.1583,1.6,3.3,60.0003,68.1606,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.1522,0.7014,124.88,24.42,5.77,0.24,0.72,144.49,True,False
134,125.0,400,60,693.3708,79.4297,1.6,3.3,60.0001,71.5705,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.8975,0.5438,124.8,32.87,8.17,0.33,1.0,150.83,True,True
137,125.0,400,100,524.723,69.3349,1.6,3.3,60.0033,68.2707,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.1928,0.6981,124.88,27.27,6.6,0.24,0.74,146.53,True,False
139,125.0,400,120,529.8436,69.7294,1.6,3.3,60.0008,68.2631,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.2142,0.6965,124.87,28.76,7.03,0.25,0.75,147.61,True,False
13,20.0,400,120,67.4975,61.7992,1.6,3.0935,60.0032,65.1387,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.2821,0.8402,19.93,3.51,0.86,0.03,0.08,22.68,True,False
140,125.0,400,120,699.9997,79.5562,1.6,3.3,60.0018,71.6428,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.9252,0.5419,122.09,38.0,9.69,0.33,1.02,151.74,True,True
141,125.0,450,0,429.8663,67.0459,1.6,3.3,60.0003,67.825,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.0209,0.7293,124.9,19.69,4.4,0.23,0.64,141.07,True,False
142,125.0,450,0,554.4367,71.7648,1.6,3.3,60.0004,70.7906,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.6065,0.5828,124.85,25.4,5.99,0.29,0.86,145.41,True,True
143,125.0,450,20,433.1605,67.1623,1.6,3.3,60.0006,67.8322,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.0364,0.7282,124.9,20.92,4.76,0.23,0.65,141.94,True,False
144,125.0,450,20,560.6515,72.2583,1.6,3.3,60.0002,70.8183,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.6358,0.5811,124.84,27.08,6.49,0.3,0.87,146.6,True,True
145,125.0,450,40,436.5233,67.0095,1.6,3.3,60.0003,67.8722,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.0522,0.7271,124.89,22.18,5.14,0.23,0.66,142.82,True,False
146,125.0,450,40,567.1499,72.5269,1.6,3.2999,60.0002,70.8234,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.6663,0.5793,124.84,28.81,7.0,0.3,0.89,147.84,True,True
147,125.0,450,60,440.0345,67.2611,1.6,3.3,60.0011,68.0075,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.0687,0.7258,124.89,23.47,5.53,0.23,0.65,143.72,True,False
148,125.0,450,60,574.0075,72.6429,1.6,3.3,60.0004,70.9325,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.6986,0.5773,124.84,30.61,7.54,0.3,0.9,149.12,True,True
149,125.0,450,80,443.641,66.9672,1.6,3.3,60.0004,67.8977,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.0857,0.7247,124.89,24.79,5.9,0.23,0.68,144.68,True,False
14,20.0,400,120,81.5488,83.4452,1.6,1.1,60.0001,65.5479,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.3408,0.6387,19.91,1.73,1.05,0.11,0.13,20.83,True,True
150,125.0,450,80,581.2178,72.8529,1.6,3.3,60.0009,70.9184,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.7324,0.5753,124.83,32.48,8.08,0.31,0.93,150.47,True,True
151,125.0,450,100,447.3974,67.1226,1.6,3.3,60.0,67.9562,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.1033,0.7235,124.89,26.16,6.3,0.23,0.68,145.65,True,False
152,125.0,450,100,588.806,73.1219,1.6,3.3,60.0008,71.0102,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.7681,0.5731,124.83,34.42,8.65,0.31,0.94,151.86,True,True
153,125.0,450,120,451.29,67.4548,1.6,3.3,60.0018,68.0607,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.1216,0.7221,124.88,27.56,6.71,0.24,0.68,146.64,True,False
154,125.0,450,120,596.7876,73.9354,1.6,3.3,60.0,71.1063,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.8056,0.5708,124.82,36.44,9.23,0.32,0.95,153.3,True,True
155,125.0,500,0,376.8258,65.6182,1.6,3.3,60.0028,67.6064,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.9684,0.7465,124.9,19.18,4.26,0.22,0.61,140.66,True,False
156,125.0,500,0,478.8764,68.9176,1.6,3.3,60.0,70.4214,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.5015,0.604,124.86,24.38,5.71,0.28,0.81,144.62,True,True
157,125.0,500,20,379.4993,65.517,1.6,3.3,60.0011,67.7174,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.9824,0.7456,124.9,20.37,4.63,0.22,0.61,141.47,True,False
158,125.0,500,20,483.6934,69.0897,1.6,3.3,60.0004,70.4895,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.5266,0.6026,124.87,25.96,6.19,0.28,0.81,145.74,True,True
159,125.0,500,40,382.2839,65.4759,1.6,3.3,60.0011,67.691,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.9969,0.7447,124.9,21.58,4.98,0.22,0.62,142.34,True,False
15,20.0,450,0,57.9621,81.3855,4.9999,1.1,60.0026,67.0981,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.2725,0.7698,19.93,1.84,1.84,0.09,0.06,20.08,True,False
160,125.0,500,40,488.6447,69.6464,1.6,3.3,60.0009,70.4993,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.5525,0.6012,124.86,27.58,6.67,0.29,0.83,146.89,True,True
161,125.0,500,60,385.1527,65.8302,1.6,3.3,60.0006,67.7303,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.0119,0.7437,124.9,22.82,5.35,0.22,0.62,143.22,True,False
162,125.0,500,60,493.8195,69.256,1.6,3.3,60.0002,70.5307,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.5795,0.5998,124.86,29.26,7.16,0.29,0.84,148.09,True,True
163,125.0,500,80,388.0948,65.6063,1.6,3.3,60.0001,67.741,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.0273,0.7428,124.9,24.1,5.73,0.23,0.63,144.13,True,False
164,125.0,500,80,499.2176,69.6613,1.6,3.3,60.002,70.5597,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.6077,0.5983,124.85,31.0,7.67,0.29,0.86,149.33,True,True
165,125.0,500,100,391.1287,66.1407,1.6,3.3,60.0013,67.7291,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.0431,0.7418,124.9,25.41,6.1,0.23,0.64,145.07,True,False
166,125.0,500,100,504.9023,70.0447,1.6,3.3,60.0003,70.6307,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.6374,0.5966,124.86,32.8,8.2,0.3,0.87,150.62,True,True
167,125.0,500,120,394.2898,65.7651,1.6,3.3,60.0002,67.7258,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.0596,0.7408,124.9,26.75,6.49,0.23,0.65,146.05,True,False
168,125.0,500,120,510.8211,70.0288,1.6,3.3,60.0005,70.6725,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.6683,0.595,124.85,34.66,8.73,0.3,0.88,151.96,True,True
169,150.0,400,0,656.072,75.7731,1.6,3.3,60.0007,69.3978,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.7417,0.6543,149.85,26.72,6.14,0.31,0.98,171.71,True,False
16,20.0,450,0,68.6435,81.9247,4.9997,1.1,60.0001,67.0956,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.3227,0.6511,19.92,2.18,2.18,0.1,0.09,20.11,True,True
171,150.0,400,20,663.3022,76.1376,1.6,3.3,60.0005,69.3269,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.7719,0.652,149.85,28.48,6.66,0.31,1.02,173.0,True,False
173,150.0,400,40,670.812,76.4874,1.6,3.3,60.0009,69.483,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.8032,0.6494,149.85,30.29,7.21,0.31,1.01,174.26,True,False
175,150.0,400,60,678.6956,77.4658,1.6,3.3,60.0005,69.4867,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.8362,0.6469,149.84,32.18,7.75,0.32,1.04,175.62,True,False
176,150.0,400,60,699.9999,80.3231,1.6,3.2999,60.0009,71.5884,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.9252,0.542,125.47,33.19,8.25,0.33,1.02,151.75,True,True
178,150.0,400,80,699.9986,80.484,1.6,3.3,60.0009,71.6308,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.9252,0.5419,124.36,34.77,8.74,0.33,1.02,151.74,True,True
17,20.0,450,20,58.2231,61.2564,1.6,3.1698,60.0011,65.2269,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.2737,0.8451,19.93,2.72,0.61,0.03,0.07,22.14,True,False
181,150.0,400,120,700.0,78.8032,1.6,3.3,60.0005,69.661,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.9252,0.6398,149.19,38.0,9.45,0.33,1.09,179.15,True,False
183,150.0,450,0,549.5435,70.6035,1.6,3.3,60.0011,68.894,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.5835,0.6894,149.88,25.18,5.73,0.29,0.88,170.48,True,False
184,150.0,450,0,699.9997,80.4345,1.6,3.3,60.002,72.1295,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,3.2909,0.5415,144.7,32.07,7.75,0.37,1.17,170.56,True,True
185,150.0,450,20,554.5539,71.1888,1.6,3.3,60.0003,68.8374,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.6071,0.6878,149.87,26.78,6.21,0.29,0.9,171.65,True,False
187,150.0,450,40,559.7887,71.3289,1.6,3.3,60.0001,68.898,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.6317,0.6861,149.88,28.44,6.7,0.29,0.91,172.82,True,False
188,150.0,450,40,699.9997,80.1945,1.6,3.3,60.0013,72.1372,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,3.2909,0.5414,142.28,35.56,8.82,0.37,1.16,170.55,True,True
18,20.0,450,20,70.1453,66.3165,1.6,2.6156,60.0039,66.3016,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.3298,0.6993,19.91,2.77,0.75,0.05,0.1,22.07,True,True
191,150.0,450,80,570.8195,71.5137,1.6,3.3,60.0001,68.9967,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.6836,0.6824,149.87,31.9,7.72,0.3,0.93,175.28,True,False
193,150.0,450,100,576.721,71.8697,1.6,3.3,60.0002,69.0462,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.7113,0.6804,149.86,33.72,8.25,0.3,0.95,176.58,True,False
194,150.0,450,100,699.9999,80.1446,1.6,3.3,60.0009,72.084,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,3.2909,0.5415,138.53,40.92,10.43,0.37,1.17,170.57,True,True
195,150.0,450,120,582.8846,72.304,1.6,3.3,60.0004,69.0922,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.7403,0.6784,149.86,35.59,8.79,0.31,0.96,177.93,True,False
197,150.0,500,0,475.5725,68.2222,1.6,3.3,60.0003,68.5332,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.4842,0.7137,149.89,24.21,5.48,0.28,0.82,169.72,True,False
198,150.0,500,0,623.4896,75.8196,1.6,3.3,60.0012,71.8521,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,3.2569,0.5628,149.83,31.74,7.63,0.37,1.13,175.44,True,True
199,150.0,500,20,479.4558,68.4776,1.6,3.3,60.0002,68.5317,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.5045,0.7125,149.89,25.73,5.93,0.28,0.83,170.8,True,False
19,20.0,450,40,58.5276,61.2341,1.6,3.1548,60.0017,65.2407,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.2752,0.8446,19.93,2.87,0.66,0.03,0.07,22.24,True,False
1,20.0,400,0,65.4355,81.7972,4.9998,1.1,60.0013,67.0968,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.2734,0.7671,19.93,1.85,1.85,0.09,0.06,20.08,True,False
200,150.0,500,20,631.4423,76.0554,1.6,3.3,60.0014,71.8767,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,3.2984,0.5605,149.83,33.89,8.27,0.37,1.16,176.97,True,True
201,150.0,500,40,483.4407,68.4978,1.6,3.3,60.0008,68.5232,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.5253,0.7112,149.88,27.29,6.39,0.28,0.85,171.91,True,False
202,150.0,500,40,639.8039,76.0666,1.6,3.3,60.0023,71.9408,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,3.3421,0.5582,149.82,36.12,8.93,0.38,1.18,178.56,True,True
203,150.0,500,60,487.6051,68.611,1.6,3.3,60.0018,68.6055,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.5471,0.7098,149.88,28.9,6.87,0.28,0.85,173.04,True,False
204,150.0,500,60,648.6861,76.9892,1.6,3.3,60.0003,72.0376,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,3.3885,0.5556,149.82,38.44,9.62,0.38,1.2,180.22,True,True
205,150.0,500,80,491.9258,69.1481,1.6,3.3,60.0007,68.6039,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.5696,0.7084,149.88,30.55,7.35,0.29,0.87,174.23,True,False
206,150.0,500,80,658.0873,77.4234,1.6,3.3,60.0028,72.1321,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,3.4376,0.553,149.81,40.86,10.34,0.39,1.22,181.95,True,True
207,150.0,500,100,496.4118,69.0266,1.6,3.3,60.0,68.6237,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.5931,0.7069,149.88,32.25,7.84,0.29,0.88,175.46,True,False
208,150.0,500,100,668.1025,77.9279,1.6,3.3,60.0015,72.2688,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,3.4899,0.5501,149.8,43.4,11.09,0.39,1.24,183.75,True,True
209,150.0,500,120,501.0551,69.1514,1.6,3.3,60.0003,68.679,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.6173,0.7053,149.88,34.0,8.35,0.29,0.89,176.71,True,False
20,20.0,450,40,70.5749,66.777,1.6,2.5667,60.0018,66.2428,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.3318,0.6977,19.91,2.91,0.81,0.05,0.1,22.16,True,True
212,175.0,400,0,700.0,79.9819,1.6,3.3,60.0002,71.5835,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.9252,0.542,128.72,28.51,6.82,0.33,1.02,151.76,True,True
215,175.0,400,40,699.9995,79.0166,1.6,3.3,60.0001,69.6635,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.9252,0.6398,153.66,31.61,7.54,0.33,1.09,179.15,True,False
217,175.0,400,60,699.9999,78.6428,1.6,3.3,60.0005,69.692,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.9252,0.6398,152.57,33.19,8.02,0.33,1.08,179.14,True,False
219,175.0,400,80,699.9986,79.0783,1.6,3.3,60.0001,69.7497,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.9252,0.6397,151.46,34.77,8.51,0.33,1.07,179.12,True,False
21,20.0,450,60,58.8385,61.4658,1.6,3.14,60.0118,65.2274,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.2766,0.8441,19.93,3.02,0.71,0.03,0.07,22.35,True,False
222,175.0,400,100,699.9992,79.9026,1.6,3.3,60.001,71.6139,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.9252,0.542,123.23,36.38,9.21,0.33,1.02,151.75,True,True
223,175.0,400,120,699.9999,78.9467,1.6,3.3,60.0008,69.7175,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.9252,0.6398,149.19,38.0,9.46,0.33,1.08,179.13,True,False
224,175.0,400,120,700.0,79.8358,1.6,3.3,60.0002,71.6197,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,2.9252,0.542,122.09,38.0,9.69,0.33,1.02,151.75,True,True
225,175.0,450,0,697.7507,78.8635,1.6,3.3,60.0003,70.1176,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,3.2803,0.64,174.84,31.97,7.45,0.37,1.23,200.96,True,False
226,175.0,450,0,699.9986,80.357,1.6,3.3,60.0002,72.0895,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,3.2909,0.5415,144.7,32.07,7.74,0.37,1.17,170.57,True,True
227,175.0,450,20,699.9994,79.2049,1.6,3.3,60.0011,70.0914,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,3.2909,0.6393,173.97,33.81,8.01,0.37,1.25,201.39,True,False
22,20.0,450,60,70.9154,82.9466,1.6003,1.1001,60.0001,65.4922,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.3334,0.642,19.91,1.2,0.86,0.1,0.13,20.49,True,True
231,175.0,450,60,699.9999,79.0984,1.6,3.3,60.0,70.0672,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,3.2909,0.6394,171.52,37.33,9.08,0.37,1.25,201.4,True,False
232,175.0,450,60,699.9998,80.4457,1.6,3.3,60.0004,72.1161,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,3.2909,0.5415,141.05,37.33,9.36,0.37,1.17,170.56,True,True
233,175.0,450,80,699.9991,79.3853,1.6,3.3,60.0003,70.1462,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,3.2909,0.6393,170.27,39.12,9.63,0.37,1.23,201.37,True,False
234,175.0,450,80,699.9994,80.266,1.6,3.3,60.0,72.1908,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,3.2909,0.5414,139.8,39.12,9.91,0.37,1.15,170.54,True,True
235,175.0,450,100,699.9996,79.1174,1.6,3.3,60.0004,70.1996,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,3.2909,0.6392,169.01,40.92,10.17,0.37,1.22,201.35,True,False
236,175.0,450,100,699.9997,80.704,1.6,3.3,60.0,72.1245,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,3.2909,0.5415,138.53,40.92,10.43,0.37,1.17,170.56,True,True
239,175.0,500,0,590.6695,72.8742,1.6,3.3,60.0006,69.5671,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,3.0854,0.6753,174.87,30.07,6.93,0.35,1.09,199.44,True,False
23,20.0,450,80,59.1565,61.6628,1.6,3.1086,60.0015,65.174,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.2781,0.8432,19.93,3.16,0.76,0.03,0.07,22.45,True,False
241,175.0,500,20,596.4532,73.3369,1.6,3.3,60.0001,69.5738,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,3.1156,0.6734,174.87,32.01,7.51,0.35,1.12,200.83,True,False
242,175.0,500,20,700.0,80.5058,1.6,3.3,60.0005,72.6074,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,3.6565,0.541,159.32,37.57,9.28,0.41,1.32,189.34,True,True
243,175.0,500,40,602.4445,73.3557,1.6,3.3,60.0005,69.6355,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,3.1469,0.6714,174.86,34.01,8.11,0.35,1.13,202.24,True,False
244,175.0,500,40,699.9991,80.7733,1.6,3.3,60.001,72.618,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,3.6565,0.541,157.97,39.52,9.88,0.41,1.32,189.34,True,True
