Case,Case Label,Current,Anode Stoichiometry set,Mass  Fraction H2 anode set,Relative Humidity anode inlet set,Temperature anode inlet set,Cathode Stoichiometry set,Relative Humidity cathode inlet set,Temperature cathode inlet set,Pressure (Absolute) cathode outlet set,Volumetric Flow Rate coolant set,Temperature coolant inlet set,Pressure (Absolute) coolant outlet set,factor pressure difference anode2 cathode,Average Pressure (Outlet); Part Cathode_inlet,Average Temperature (Outlet); Part Cathode_inlet,Relative Humidity (Outlet); Part Cathode_inlet,Average Mass Flow Rate (Outlet); Part Cathode_inlet,Total Gaseous Mass Fraction Average (Outlet); Part Cathode_inlet,Average Pressure (Outlet); Part Cathode_outlet,Average Temperature (Outlet); Part Cathode_outlet,Relative Humidity (Outlet); Part Cathode_outlet,Average Mass Flow Rate (Outlet); Part Cathode_outlet,Average Pressure (Outlet); Part An_inlet-1,Average Temperature (Outlet); Part An_inlet-1,Relative Humidity (Outlet); Part An_inlet-1,Average Mass Flow Rate (Outlet); Part An_inlet-1,Average Pressure (Outlet); Part An_outlet,Average Temperature (Outlet); Part An_outlet,Relative Humidity (Outlet); Part An_outlet,Average Mass Flow Rate (Outlet); Part An_outlet,Average Pressure (Outlet); Part Coolant_inlet,Average Temperature (Outlet); Part Coolant_inlet,Average Mass Flow Rate (Outlet); Part Coolant_inlet,Average Pressure (Outlet); Part Coolant_outlet,Average Temperature (Outlet); Part Coolant_outlet,Average Mass Flow Rate (Outlet); Part Coolant_outlet,m_dot_an; Part Anode_lambda,m_dot_cath; Part Cathode_lambda,H2 Anode out; Part RLTCreator-1,N2 Anode out; Part RLTCreator-1,H2Ovap Anode out; Part RLTCreator-1,H2Oliq Anode out; Part RLTCreator-1,O2 Cathode out; Part RLTCreator-1,N2 Cathode out; Part RLTCreator-1,H2Ovap Cathode out; Part RLTCreator-1,H2Oliq Cathode out; Part RLTCreator-1,H2 Anode in; Part RLTCreator-1,N2 Anode in; Part RLTCreator-1,H2Ovap Anode in; Part RLTCreator-1,H2Oliq Anode in; Part RLTCreator-1,O2 Cathode in; Part RLTCreator-1,N2 Cathode in; Part RLTCreator-1,H2Ovap Cathode in; Part RLTCreator-1,H2Oliq Cathode in; Part RLTCreator-1,Output 1; Part Gain-2-1,Output 1; Part Gain-3-1,Output 1; Part Gain-4-1,Output 1; Part Gain-5-1,Output 1; Part Gain-6-1,Output 1; Part Gain-7-1,Output 1; Part Gain-8-1,Output 1; Part Gain-9-1,Output 1; Part Gain-10-1,Output 1; Part Gain-11-1,Voltage; Part SubAssemblyExternal-1,Current; Part SubAssemblyExternal-1,Electrical Power; Part SubAssemblyExternal-1,Fuel Power; Part SubAssemblyExternal-1,Fuel Efficiency; Part SubAssemblyExternal-1,Voltage Loss - Activation; Part SubAssemblyExternal-1,Voltage Loss - Transport; Part SubAssemblyExternal-1,Voltage Loss - Ohmic; Part SubAssemblyExternal-1,Membrane Humidity; Part SubAssemblyExternal-1,Membrane Water Content Average; Part SubAssemblyExternal-1,Water_Content_Vol_1; Part SubAssemblyExternal-1,Water_Content_Vol_2; Part SubAssemblyExternal-1,Water_Content_Vol_3; Part SubAssemblyExternal-1,Water_Content_Vol_4; Part SubAssemblyExternal-1,Water_Content_Vol_5; Part SubAssemblyExternal-1,Mass Rate of Water Crossover (Anode); Part SubAssemblyExternal-1,Mass Rate of Nitrogen Crossover; Part SubAssemblyExternal-1,Mass Rate of Hydrogen Crossover; Part SubAssemblyExternal-1,Mass Rate of Oxygen Crossover; Part SubAssemblyExternal-1,Cathode Stoichiometric Ratio; Part SubAssemblyExternal-1,Anode Stoichiometric Ratio; Part SubAssemblyExternal-1,T_degC_Vol_1; Part SubAssemblyExternal-1,T_degC_Vol_2; Part SubAssemblyExternal-1,T_degC_Vol_3; Part SubAssemblyExternal-1,T_degC_Vol_4; Part SubAssemblyExternal-1,T_degC_Vol_5; Part SubAssemblyExternal-1
10,--,50.0,3.2857,0.85309,0.985317,52.6329,1.91777,0.34823,74.1372,2.1445,0.445025,61.7222,1.53011,1.08631,2.1653855,347.28848,34.82157,16.090477,1.0,2.1445,339.52203,99.37782,14.80949,2.3544202,325.78284,98.531975,1.3915966,2.329592,336.25055,99.99999,2.6776276,1.7194593,334.8722,1664.746,1.5301087,339.27618,1663.059,1.3915957,16.090631,0.7072578,0.014392429,0.078994684,0.19935508,0.09461774,0.7704095,0.121835925,0.013136829,0.9296671,0.011494164,0.058838733,0.0,0.1978656,0.74227124,0.059863154,0.0,97.63043,99.90256,100.0,100.0,100.0,44.37065,53.492695,68.81653,100.000015,99.99992,376.36594,50.0,18.818298,29.451523,0.63900936,30.54039,0.5249812,9.807758,71.93561,7.9235516,13.610226,14.012228,5.352604,3.6006606,3.0392685,1.4490098,0.019695872,0.00669833,0.009361531,1.8503441,3.2612524,63.121773,63.715405,64.60613,65.58459,66.26228
11,--,50.0,1.94625,0.698739,0.804684,65.8578,3.42402,0.491443,78.724,2.97803,0.451215,61.7601,2.34815,0.833481,3.005104,351.8724,49.146698,29.011358,1.0,2.978023,340.2517,83.9424,27.077045,2.5047107,339.0081,80.46763,1.1112839,2.482131,336.9593,100.00007,3.3560214,2.5371394,334.9101,1670.128,2.3481483,339.82153,1668.298,1.1113069,29.009867,0.4226746,0.028973375,0.047739603,0.50061244,0.14472324,0.77876544,0.07651134,0.0,0.88889503,0.027515147,0.0835898,0.0,0.19496855,0.73140323,0.0736282,0.0,100.0,100.0,91.57365,100.0,100.00003,30.873014,20.226416,75.31333,68.87844,56.45522,385.20505,50.0,19.260252,29.442333,0.6520365,21.388613,0.30486998,12.143467,52.480083,5.383056,3.515779,3.9222193,9.981378,2.459786,1.9911501,2.157267,0.0237419,0.006070591,0.013735531,3.311682,1.9496441,63.88536,64.193275,64.97401,65.93405,67.00019
12,--,50.0,2.18053,0.604285,0.352679,74.48,3.01025,0.840949,55.9177,1.14679,0.478983,63.7351,2.10758,1.15391,1.2131833,329.06717,84.09656,26.105738,1.0,1.1467922,343.4095,84.59038,26.46008,1.3343638,347.63,35.26791,1.1718099,1.3232925,339.37833,71.05994,0.8031842,2.293127,336.8851,1692.3931,2.107584,341.4619,1690.4446,1.1718098,26.105585,0.7730526,0.084930465,0.14201695,0.0,0.114648275,0.6525914,0.23276033,0.0,0.8597647,0.040421624,0.09981366,0.0,0.18643814,0.6994024,0.11415947,0.0,84.30699,91.99823,89.09892,81.88285,72.79357,69.173355,78.4978,86.17654,90.1576,85.6623,365.517,50.0,18.27585,29.041563,0.62933165,36.418316,0.4371117,6.846687,83.90565,8.423771,8.574806,10.762925,9.688412,7.607505,5.7233844,-0.14168613,0.010462307,0.003644884,0.006467934,2.9297857,1.7185898,65.43087,66.96119,68.23028,69.340065,70.220436
13,--,50.0,2.17046,0.767471,0.543694,59.7068,3.78736,0.636305,70.6502,2.43797,0.470014,67.5461,2.15611,1.19737,2.4891958,343.8004,63.63003,32.260254,1.0,2.4379704,344.61444,99.63429,32.36841,2.9308202,332.85678,54.369427,0.9140904,2.9191523,341.85413,95.765465,0.80868626,2.3360236,340.6961,1680.5228,2.1561105,342.4768,1681.1549,0.9140902,32.260334,0.8613144,0.04191123,0.096774355,0.0,0.1324679,0.6906103,0.12937091,0.0475509,0.9429828,0.020512205,0.03650499,0.0,0.19320017,0.72476935,0.08203046,0.0,95.10651,99.20805,99.42203,99.51169,96.66143,91.10576,100.000015,100.000015,100.000015,99.99991,391.5165,50.0,19.575825,30.264566,0.64683706,20.69824,0.800902,4.540192,98.52278,13.351332,12.631745,13.84498,13.88368,13.914592,12.489386,0.0862247,0.028966982,0.011994588,0.021127373,3.555393,2.1781116,68.60347,69.49816,70.66903,71.4521,71.47737
14,--,50.0,2.31024,0.635079,0.828023,62.5652,2.75023,0.906232,73.8072,1.57162,0.425149,50.2715,1.45905,0.863461,1.6101897,346.96265,90.6076,25.463686,1.0,1.5716223,332.11276,67.045135,21.929724,1.3924748,335.71387,82.80621,1.3372885,1.3570453,327.2756,100.0,5.586671,1.6706121,323.4215,1658.3124,1.4590448,332.7612,1654.1571,1.3372988,25.46524,0.25355926,0.023779107,0.03472743,0.6879342,0.12899026,0.77661085,0.09439889,0.0,0.83222514,0.034332495,0.13344237,0.0,0.16698502,0.6264261,0.20658886,0.0,100.00001,85.02588,100.0,100.0,100.0,80.11255,36.98469,31.706783,76.149475,94.525635,358.3736,50.0,17.91868,28.889118,0.61508083,42.0755,0.25118023,15.341743,44.43855,4.5286436,12.666465,8.308942,2.8423657,2.3567784,2.6102102,4.0341196,0.009377786,0.0025636854,0.0049614375,2.6704428,1.8216909,53.994595,54.54802,55.817616,57.155968,58.76851
15,--,50.0,1.57836,0.658994,0.426775,63.6664,3.60737,0.815041,67.5855,1.95298,0.413852,66.8915,1.32777,0.831635,1.9996037,340.7354,81.50436,31.363422,1.0,1.9529806,344.5266,91.1892,30.16949,1.6342177,336.8164,42.6775,0.7369987,1.6241666,342.38443,100.00006,1.9565928,1.500701,340.0415,1632.1984,1.327771,342.69037,1632.2363,0.7369986,31.363392,0.339632,0.04719936,0.088206306,0.5249623,0.13525404,0.7101777,0.15456824,0.0,0.9047907,0.033614147,0.06159518,0.0,0.18637216,0.69915485,0.114473,0.0,90.92381,96.760185,85.174706,66.549904,99.99999,43.626583,61.52883,79.21893,92.391655,91.62809,379.62656,50.0,18.981329,29.241978,0.64913034,23.845842,0.33393365,8.256282,71.76054,7.7126384,10.684858,12.475555,8.348273,4.8074493,2.2969377,1.3992271,0.01897946,0.0046377033,0.011850013,3.4950213,1.3569155,68.6328,69.19541,69.96725,70.72836,71.36481
16,--,50.0,3.30063,0.698114,0.361663,84.4422,1.8503,0.596178,77.4234,2.40899,0.451553,71.8483,1.50297,1.14771,2.450241,350.5702,59.62374,15.986742,1.0,2.4089901,345.14398,99.756584,16.134054,2.7871592,357.59235,36.166157,1.8683205,2.764822,344.7455,99.51733,1.8115195,1.6761932,344.9983,1659.7788,1.5029732,343.43008,1663.2473,1.8683223,15.986201,0.83959144,0.039721683,0.12068689,0.0,0.07420556,0.6476893,0.11865631,0.15944883,0.8986375,0.02789938,0.07346317,0.0,0.18860784,0.7075417,0.103850424,0.0,87.44811,91.60449,94.81395,98.66215,99.60786,100.000015,100.00001,100.00001,100.00001,99.999916,385.8857,50.0,19.294285,30.060856,0.6416968,22.953402,1.7215974,4.876374,95.04245,11.986808,9.68766,10.793518,11.971805,13.578957,13.944204,0.16025007,0.030945955,0.01105689,0.015089729,1.7463342,3.4460073,72.271385,72.80811,72.757324,72.62843,72.21638
17,--,50.0,3.4919,0.716058,0.260211,70.0303,2.51055,0.811812,52.6935,1.11017,0.478151,61.1504,1.6582,1.10858,1.1657257,325.84268,81.18374,21.533844,1.0,1.110171,343.0803,77.40264,21.397041,1.2568127,343.18036,26.021063,1.4539158,1.2307122,337.42606,78.185814,1.5694512,1.8461643,334.3004,1694.3424,1.6581949,340.86206,1690.9214,1.4539163,21.533644,0.8098402,0.03615397,0.15400583,3.644485E-18,0.10665471,0.6764342,0.21691108,0.0,0.90942454,0.025890565,0.06468489,0.0,0.18979701,0.71200275,0.09820022,0.0,73.78294,93.15492,97.940994,92.83734,79.694,74.285545,88.62828,95.378914,93.02323,78.41879,363.1363,50.0,18.156815,29.035053,0.6254048,39.184525,0.44611606,6.2733126,87.45214,9.6212435,6.3228917,11.350655,13.06387,10.891725,6.984705,0.34366897,0.010634435,0.0036202455,0.0062327287,2.4453497,2.866314,63.68621,65.64993,67.323364,68.751945,69.8311
18,--,50.0,2.48935,0.691832,0.997058,62.6391,3.13511,0.713596,63.3479,2.644,0.417047,66.4964,2.36046,0.850333,2.6713166,336.50476,71.3427,26.354618,1.0,2.644004,343.5414,81.495476,24.254784,2.2748213,335.79785,99.67533,1.4763863,2.2482867,340.97488,100.0,2.6103036,2.535852,339.6464,1635.3964,2.3604603,342.60498,1635.1628,1.4764684,26.35797,0.5808192,0.034300596,0.08887229,0.29600793,0.13788855,0.7708836,0.09122784,0.0,0.87342864,0.027932366,0.098639,0.0,0.1973953,0.74050695,0.06209778,0.0,81.95327,75.027534,100.0,100.0,100.0,37.186115,31.666363,25.70853,65.84437,77.54111,382.81995,50.0,19.140997,29.319443,0.6597159,19.53331,0.2768345,13.713316,44.701904,3.9509451,7.6705565,5.932835,2.774718,2.6161726,2.53645,2.061778,0.021510677,0.0053790817,0.011091881,3.03677,2.4507258,67.52099,68.24687,69.0321,69.76781,70.378975
19,--,50.0,3.7245,0.746589,0.49699,52.8619,2.3147,0.278126,55.3742,1.64831,0.436112,61.6044,1.49175,1.29928,1.688582,328.5267,27.810036,19.026726,1.0,1.6483101,339.6112,99.65685,19.007689,2.16433,326.01178,49.69922,1.4567282,2.141616,335.7145,70.83226,1.4242997,1.6797215,334.7544,1657.0594,1.4917469,340.338,1654.1317,1.4567267,19.02724,0.89391845,0.03189494,0.074186586,0.0,0.10512577,0.7138536,0.1571003,0.02392031,0.944341,0.023012625,0.03264637,0.0,0.20490184,0.7686669,0.026431257,0.0,93.592804,99.18603,99.62738,98.43007,71.13579,63.304653,93.27064,100.00002,100.000015,99.99997,374.62982,50.0,18.731491,29.531298,0.6344109,34.53265,0.748547,5.9037623,92.69731,11.69994,12.2404175,13.841467,13.904375,13.213959,5.3250217,0.18063672,0.016572135,0.0072857416,0.00997823,2.2311652,3.4682987,62.358215,63.404392,65.03609,66.42307,66.283
