Case,Case Label,Current,Anode Stoichiometry set,Mass  Fraction H2 anode set,Relative Humidity anode inlet set,Temperature anode inlet set,Cathode Stoichiometry set,Relative Humidity cathode inlet set,Temperature cathode inlet set,Pressure (Absolute) cathode outlet set,Volumetric Flow Rate coolant set,Temperature coolant inlet set,Pressure (Absolute) coolant outlet set,factor pressure difference anode2 cathode,Average Pressure (Outlet); Part Cathode_inlet,Average Temperature (Outlet); Part Cathode_inlet,Relative Humidity (Outlet); Part Cathode_inlet,Average Mass Flow Rate (Outlet); Part Cathode_inlet,Total Gaseous Mass Fraction Average (Outlet); Part Cathode_inlet,Average Pressure (Outlet); Part Cathode_outlet,Average Temperature (Outlet); Part Cathode_outlet,Relative Humidity (Outlet); Part Cathode_outlet,Average Mass Flow Rate (Outlet); Part Cathode_outlet,Average Pressure (Outlet); Part An_inlet-1,Average Temperature (Outlet); Part An_inlet-1,Relative Humidity (Outlet); Part An_inlet-1,Average Mass Flow Rate (Outlet); Part An_inlet-1,Average Pressure (Outlet); Part An_outlet,Average Temperature (Outlet); Part An_outlet,Relative Humidity (Outlet); Part An_outlet,Average Mass Flow Rate (Outlet); Part An_outlet,Average Pressure (Outlet); Part Coolant_inlet,Average Temperature (Outlet); Part Coolant_inlet,Average Mass Flow Rate (Outlet); Part Coolant_inlet,Average Pressure (Outlet); Part Coolant_outlet,Average Temperature (Outlet); Part Coolant_outlet,Average Mass Flow Rate (Outlet); Part Coolant_outlet,m_dot_an; Part Anode_lambda,m_dot_cath; Part Cathode_lambda,H2 Anode out; Part RLTCreator-1,N2 Anode out; Part RLTCreator-1,H2Ovap Anode out; Part RLTCreator-1,H2Oliq Anode out; Part RLTCreator-1,O2 Cathode out; Part RLTCreator-1,N2 Cathode out; Part RLTCreator-1,H2Ovap Cathode out; Part RLTCreator-1,H2Oliq Cathode out; Part RLTCreator-1,H2 Anode in; Part RLTCreator-1,N2 Anode in; Part RLTCreator-1,H2Ovap Anode in; Part RLTCreator-1,H2Oliq Anode in; Part RLTCreator-1,O2 Cathode in; Part RLTCreator-1,N2 Cathode in; Part RLTCreator-1,H2Ovap Cathode in; Part RLTCreator-1,H2Oliq Cathode in; Part RLTCreator-1,Output 1; Part Gain-2-1,Output 1; Part Gain-3-1,Output 1; Part Gain-4-1,Output 1; Part Gain-5-1,Output 1; Part Gain-6-1,Output 1; Part Gain-7-1,Output 1; Part Gain-8-1,Output 1; Part Gain-9-1,Output 1; Part Gain-10-1,Output 1; Part Gain-11-1,Voltage; Part SubAssemblyExternal-1,Current; Part SubAssemblyExternal-1,Electrical Power; Part SubAssemblyExternal-1,Fuel Power; Part SubAssemblyExternal-1,Fuel Efficiency; Part SubAssemblyExternal-1,Voltage Loss - Activation; Part SubAssemblyExternal-1,Voltage Loss - Transport; Part SubAssemblyExternal-1,Voltage Loss - Ohmic; Part SubAssemblyExternal-1,Membrane Humidity; Part SubAssemblyExternal-1,Membrane Water Content Average; Part SubAssemblyExternal-1,Water_Content_Vol_1; Part SubAssemblyExternal-1,Water_Content_Vol_2; Part SubAssemblyExternal-1,Water_Content_Vol_3; Part SubAssemblyExternal-1,Water_Content_Vol_4; Part SubAssemblyExternal-1,Water_Content_Vol_5; Part SubAssemblyExternal-1,Mass Rate of Water Crossover (Anode); Part SubAssemblyExternal-1,Mass Rate of Nitrogen Crossover; Part SubAssemblyExternal-1,Mass Rate of Hydrogen Crossover; Part SubAssemblyExternal-1,Mass Rate of Oxygen Crossover; Part SubAssemblyExternal-1,Cathode Stoichiometric Ratio; Part SubAssemblyExternal-1,Anode Stoichiometric Ratio; Part SubAssemblyExternal-1,T_degC_Vol_1; Part SubAssemblyExternal-1,T_degC_Vol_2; Part SubAssemblyExternal-1,T_degC_Vol_3; Part SubAssemblyExternal-1,T_degC_Vol_4; Part SubAssemblyExternal-1,T_degC_Vol_5; Part SubAssemblyExternal-1
No Unit,No Unit,A,No Unit,fraction,fraction,C,No Unit,fraction,C,bar,L/min,C,bar,No Unit,bar,K,%,g/s,fraction,bar,K,%,g/s,bar,K,%,g/s,bar,K,%,g/s,bar,K,g/s,bar,K,g/s,g/s,g/s,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,V,A,kW,kW,fraction,V,V,V,%,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,g/s,g/s,g/s,g/s,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit
1,--,250.0,3.89062,0.977213,0.741943,78.1,2.08325,0.46618,56.6875,2.63709,0.437818,50.2802,1.21124,0.951188,2.7418303,329.83722,46.61855,85.840195,1.0,2.6371012,339.07397,63.405228,77.88694,2.7364304,351.2501,74.19411,11.930295,2.508411,327.02292,99.99998,19.84456,1.7313336,323.4302,3213.2856,1.2112364,334.94525,3209.6204,11.930299,85.84001,0.70307654,0.0017555091,0.044611875,0.25055608,0.11361805,0.82388765,0.062494326,0.0,0.8795479,0.0014724849,0.11897961,0.0,0.20435196,0.7666041,0.029043933,0.0,100.00001,100.000015,100.00001,100.00001,100.00001,53.31937,52.57161,53.243576,55.844208,63.923637,295.34076,250.0,73.83519,143.32074,0.51556456,56.190327,1.9221462,67.25131,55.48937,4.014837,5.7488704,3.9926803,3.5953035,3.4179397,3.3108497,9.095284,0.019672278,0.005561062,0.007973555,2.07038,4.3845887,54.03919,56.002605,58.649826,61.833595,65.88259
2,--,250.0,3.26274,0.82593,0.545199,60.4487,1.6399,0.865081,63.3145,1.8133,0.476932,80.1036,1.67983,0.819028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,--,250.0,3.59201,0.858481,0.396536,79.5702,3.95066,0.553842,76.1748,2.54722,0.458475,83.2322,2.68707,1.00985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,--,250.0,2.71962,0.826939,0.468381,58.749,3.82433,0.681474,64.3913,2.09486,0.470882,58.5265,1.49266,1.24038,2.4183016,337.5384,68.15595,162.30847,1.0,2.095227,343.81097,69.4426,156.4762,2.7026913,331.8991,46.837917,5.138783,2.5984175,335.50388,99.999916,10.892512,2.007037,331.6765,3343.219,1.4926538,341.48096,3338.1775,5.1387877,162.30751,0.6984544,0.016703745,0.06673049,0.21811137,0.14679284,0.7469379,0.106269255,0.0,0.9530651,0.014319957,0.032614946,0.0,0.19601165,0.7353163,0.06867205,0.0,69.591385,95.61642,100.0,100.0,100.00001,66.96693,62.028572,63.37984,74.783455,73.08673,323.10828,250.0,80.77707,143.61967,0.5621525,50.31387,1.891405,42.411087,70.744125,6.5477786,6.554063,13.344256,5.584196,3.8804271,3.5002167,6.955469,0.02135669,0.007589178,0.011657746,3.8045194,2.8111088,62.14348,63.573917,65.960175,69.01347,70.842354
5,--,250.0,2.79795,0.809006,0.92102,82.7896,1.79407,0.378032,67.6914,1.31822,0.479887,81.6266,1.72538,1.21839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,250.0,3.84774,0.782543,0.446,75.8796,1.95496,0.514438,54.4613,1.23901,0.4157,56.9162,1.0907,0.849639,1.452636,327.60974,51.447403,81.99113,1.0,1.2391362,342.17264,74.10119,79.236336,1.2466791,349.02985,44.599674,9.536478,1.0527232,332.38058,99.999954,12.268015,1.558052,330.0662,3104.0771,1.0906961,339.49164,3100.6338,9.5364895,81.99071,0.6704972,0.020850835,0.15459916,0.15405281,0.094432436,0.72693247,0.1786351,0.0,0.839982,0.016758246,0.14325976,0.0,0.19901584,0.74658626,0.05439792,0.0,75.88174,92.00988,100.000015,100.00006,100.00005,47.084232,52.17239,68.17175,80.30806,77.44045,299.47983,250.0,74.86996,142.96368,0.5239573,65.28798,2.5291934,42.32458,71.842735,6.700941,7.12641,11.299834,7.811866,3.9158773,3.3293617,3.9150534,0.012173171,0.0029314535,0.005217094,1.9496541,2.839749,59.33734,61.76899,64.589134,67.294586,69.1885
7,NaN,250.0,2.62203,0.861928,0.901644,83.2021,2.52702,0.85532,74.572,1.29272,0.462497,60.515,1.64606,1.01171,1.6068695,347.71756,85.54793,119.93795,1.0,1.2930733,350.11166,50.37152,105.68105,1.5376422,356.3522,90.164116,11.615379,1.3084468,340.43887,100.000046,25.867369,2.1300929,333.665,3302.5105,1.6460594,345.094,3301.3838,11.615382,119.93788,0.26193726,0.006894764,0.07228316,0.6588848,0.1167304,0.72020096,0.16306862,0.0,0.67613333,0.007776074,0.31609058,0.0,0.16799363,0.6302098,0.20179656,0.0,100.00001,100.00002,100.00002,100.000015,100.00001,88.76355,69.628975,57.592503,52.35612,53.687424,282.64185,250.0,70.66046,143.0417,0.49405622,54.677467,1.4909663,69.611305,45.092876,3.3334415,4.0164423,3.265942,3.026661,3.0232215,3.331848,15.4317875,0.011876472,0.0035940525,0.0051206877,2.5505593,1.8040679,67.59149,69.14643,71.76575,74.559364,77.326454
8,--,250.0,1.7666,0.983519,0.982013,67.6825,3.68956,0.545865,63.2362,1.99067,0.47741,55.1141,2.80439,0.925964,2.2983222,336.38382,54.592365,155.02437,1.0,1.9909886,341.26166,48.191753,146.69176,1.9589108,340.83258,98.20101,4.8423796,1.8433084,332.3256,99.99995,13.157356,3.342359,328.2641,3378.5808,2.8043885,337.59506,3376.8157,4.8423815,155.02435,0.3514031,0.001592329,0.04106616,0.60593843,0.1512919,0.7791639,0.069544196,0.0,0.85757923,0.0010317357,0.14138906,0.0,0.19890173,0.7461581,0.054940157,0.0,100.0,100.0,100.0,100.0,100.0,57.352264,51.216377,45.753685,44.936977,50.460484,281.36374,250.0,70.340935,143.12,0.4915771,53.402054,1.5382334,80.183014,38.85159,3.162396,4.33414,3.192847,2.866702,2.74834,2.6660373,9.504161,0.014792468,0.0039860727,0.0071897786,3.6807175,1.6024977,59.46529,60.76301,62.95875,65.4739,68.38317
9,--,250.0,3.25999,0.964053,0.681526,70.089,3.98321,0.919249,68.8771,2.3919,0.439399,79.3712,2.60978,1.2958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
