Case,Case Label,Current,Anode Stoichiometry set,Mass  Fraction H2 anode set,Relative Humidity anode inlet set,Temperature anode inlet set,Cathode Stoichiometry set,Relative Humidity cathode inlet set,Temperature cathode inlet set,Pressure (Absolute) cathode outlet set,Volumetric Flow Rate coolant set,Temperature coolant inlet set,Pressure (Absolute) coolant outlet set,factor pressure difference anode2 cathode,Average Pressure (Outlet); Part Cathode_inlet,Average Temperature (Outlet); Part Cathode_inlet,Relative Humidity (Outlet); Part Cathode_inlet,Average Mass Flow Rate (Outlet); Part Cathode_inlet,Total Gaseous Mass Fraction Average (Outlet); Part Cathode_inlet,Average Pressure (Outlet); Part Cathode_outlet,Average Temperature (Outlet); Part Cathode_outlet,Relative Humidity (Outlet); Part Cathode_outlet,Average Mass Flow Rate (Outlet); Part Cathode_outlet,Average Pressure (Outlet); Part An_inlet-1,Average Temperature (Outlet); Part An_inlet-1,Relative Humidity (Outlet); Part An_inlet-1,Average Mass Flow Rate (Outlet); Part An_inlet-1,Average Pressure (Outlet); Part An_outlet,Average Temperature (Outlet); Part An_outlet,Relative Humidity (Outlet); Part An_outlet,Average Mass Flow Rate (Outlet); Part An_outlet,Average Pressure (Outlet); Part Coolant_inlet,Average Temperature (Outlet); Part Coolant_inlet,Average Mass Flow Rate (Outlet); Part Coolant_inlet,Average Pressure (Outlet); Part Coolant_outlet,Average Temperature (Outlet); Part Coolant_outlet,Average Mass Flow Rate (Outlet); Part Coolant_outlet,m_dot_an; Part Anode_lambda,m_dot_cath; Part Cathode_lambda,H2 Anode out; Part RLTCreator-1,N2 Anode out; Part RLTCreator-1,H2Ovap Anode out; Part RLTCreator-1,H2Oliq Anode out; Part RLTCreator-1,O2 Cathode out; Part RLTCreator-1,N2 Cathode out; Part RLTCreator-1,H2Ovap Cathode out; Part RLTCreator-1,H2Oliq Cathode out; Part RLTCreator-1,H2 Anode in; Part RLTCreator-1,N2 Anode in; Part RLTCreator-1,H2Ovap Anode in; Part RLTCreator-1,H2Oliq Anode in; Part RLTCreator-1,O2 Cathode in; Part RLTCreator-1,N2 Cathode in; Part RLTCreator-1,H2Ovap Cathode in; Part RLTCreator-1,H2Oliq Cathode in; Part RLTCreator-1,Output 1; Part Gain-2-1,Output 1; Part Gain-3-1,Output 1; Part Gain-4-1,Output 1; Part Gain-5-1,Output 1; Part Gain-6-1,Output 1; Part Gain-7-1,Output 1; Part Gain-8-1,Output 1; Part Gain-9-1,Output 1; Part Gain-10-1,Output 1; Part Gain-11-1,Voltage; Part SubAssemblyExternal-1,Current; Part SubAssemblyExternal-1,Electrical Power; Part SubAssemblyExternal-1,Fuel Power; Part SubAssemblyExternal-1,Fuel Efficiency; Part SubAssemblyExternal-1,Voltage Loss - Activation; Part SubAssemblyExternal-1,Voltage Loss - Transport; Part SubAssemblyExternal-1,Voltage Loss - Ohmic; Part SubAssemblyExternal-1,Membrane Humidity; Part SubAssemblyExternal-1,Membrane Water Content Average; Part SubAssemblyExternal-1,Water_Content_Vol_1; Part SubAssemblyExternal-1,Water_Content_Vol_2; Part SubAssemblyExternal-1,Water_Content_Vol_3; Part SubAssemblyExternal-1,Water_Content_Vol_4; Part SubAssemblyExternal-1,Water_Content_Vol_5; Part SubAssemblyExternal-1,Mass Rate of Water Crossover (Anode); Part SubAssemblyExternal-1,Mass Rate of Nitrogen Crossover; Part SubAssemblyExternal-1,Mass Rate of Hydrogen Crossover; Part SubAssemblyExternal-1,Mass Rate of Oxygen Crossover; Part SubAssemblyExternal-1,Cathode Stoichiometric Ratio; Part SubAssemblyExternal-1,Anode Stoichiometric Ratio; Part SubAssemblyExternal-1,T_degC_Vol_1; Part SubAssemblyExternal-1,T_degC_Vol_2; Part SubAssemblyExternal-1,T_degC_Vol_3; Part SubAssemblyExternal-1,T_degC_Vol_4; Part SubAssemblyExternal-1,T_degC_Vol_5; Part SubAssemblyExternal-1
No Unit,No Unit,A,No Unit,fraction,fraction,C,No Unit,fraction,C,bar,L/min,C,bar,No Unit,bar,K,%,g/s,fraction,bar,K,%,g/s,bar,K,%,g/s,bar,K,%,g/s,bar,K,g/s,bar,K,g/s,g/s,g/s,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,fraction,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,V,A,kW,kW,fraction,V,V,V,%,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,g/s,g/s,g/s,g/s,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit,No Unit
1,--,150.0,3.89062,0.977213,0.741943,78.1,2.08325,0.46618,56.6875,2.63709,0.437818,50.2802,1.21124,0.951188,2.6924944,329.83725,46.618435,51.504143,1.0,2.6370912,336.31244,60.10514,46.333035,2.6423213,351.2501,74.19408,7.1581764,2.5083735,326.19818,99.99998,12.269327,1.5655688,323.4302,2441.3792,1.2112352,334.39316,2436.7524,7.1581793,51.50401,0.68727803,0.0018441217,0.04179425,0.26908362,0.11462385,0.83317083,0.052205343,0.0,0.8753172,0.0014654021,0.12321741,0.0,0.20423998,0.766184,0.02957605,0.0,100.0,100.0,100.0,100.0,100.0,51.015923,48.25043,49.220848,52.487362,60.18721,323.82242,150.0,48.573364,86.21999,0.5637535,50.243404,1.0412003,46.47576,49.04062,3.5516868,4.5539923,3.6003666,3.3186882,3.1667132,3.1172564,5.825036,0.017179219,0.0049189874,0.007283046,2.0642104,4.283472,53.087772,54.73516,56.944344,59.58886,63.002346
2,--,150.0,3.26274,0.82593,0.545199,60.4487,1.6399,0.865081,63.3145,1.8133,0.476932,80.1036,1.67983,0.819028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,--,150.0,3.59201,0.858481,0.396536,79.5702,3.95066,0.553842,76.1748,2.54722,0.458475,83.2322,2.68707,1.00985,2.7085576,349.32544,55.383263,101.2585,1.0,2.547261,353.9367,82.223366,100.754395,2.649526,352.72015,39.653645,5.1132445,2.5723104,356.1043,70.18105,5.7283034,2.96592,356.3822,2444.415,2.6870823,349.8102,2457.5095,5.113243,101.25943,0.8395988,0.014524142,0.14587706,0.0,0.13918114,0.70295316,0.15786573,0.0,0.91937876,0.010881078,0.06974017,0.0,0.19302094,0.724097,0.08288204,0.0,72.45882,84.83369,85.009056,78.483795,69.801895,55.936073,67.050125,77.34599,83.537254,82.30755,367.10092,150.0,55.065136,87.00863,0.6337087,24.552132,1.0799391,19.326641,79.456184,7.3157644,6.6470413,8.992007,8.556257,6.660734,5.0099034,1.27374,0.036226936,0.0099002775,0.019933416,3.8798242,3.7857823,82.66674,83.25738,82.95146,82.24066,81.23177
4,NaN,150.0,2.71962,0.826939,0.468381,58.749,3.82433,0.681474,64.3913,2.09486,0.470882,58.5265,1.49266,1.24038,2.2587438,337.5406,68.14938,97.38486,1.0,2.094908,340.92178,81.460205,93.761536,2.6581995,331.89908,46.837986,3.083271,2.5984209,334.58008,99.99997,6.646772,1.834326,331.6765,2516.924,1.4926559,339.8425,2512.89,3.0832727,97.38451,0.6917231,0.016881078,0.063220985,0.22817484,0.14583543,0.7441896,0.10997492,0.0,0.95252645,0.014311864,0.033161674,0.0,0.19499087,0.73148704,0.07352211,0.0,83.197784,98.63981,100.0,100.0,100.0,64.7153,58.78723,67.23625,83.7013,83.31551,347.6494,150.0,52.14741,86.585976,0.602372,45.105686,1.0757015,24.734293,72.53535,7.2652974,9.186875,13.844013,6.3061867,3.6722252,3.3326426,4.2842407,0.019526761,0.007434499,0.011535685,3.7737124,2.779344,61.259014,62.331333,64.03214,66.08516,67.77923
5,NaN,150.0,2.79795,0.809006,0.92102,82.7896,1.79407,0.378032,67.6914,1.31822,0.479887,81.6266,1.72538,1.21839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,--,150.0,3.84774,0.782543,0.446,75.8796,1.95496,0.514438,54.4613,1.23901,0.4157,56.9162,1.0907,0.849639,1.354178,327.64978,51.37247,49.16105,1.0,1.2390468,338.72943,82.48573,46.948353,1.1714042,349.0381,44.588467,5.7217846,1.0527283,331.94128,99.99998,7.7139626,1.4113501,330.0662,2373.923,1.0906982,336.10693,2373.2776,5.7218933,49.194424,0.6095113,0.019571092,0.1368989,0.23401871,0.09401256,0.73907155,0.16691591,0.0,0.8314529,0.016588086,0.15195899,0.0,0.19819961,0.7435242,0.058276173,0.0,84.54832,92.39838,92.92124,100.00001,100.0,41.702187,45.549595,73.55787,83.101524,83.47463,319.3762,150.0,47.906425,85.907074,0.5616048,59.863197,1.4334087,29.792685,65.61064,6.402766,8.916888,11.003305,10.588735,3.4107287,2.9150932,2.7120204,0.010465081,0.002630073,0.004742796,1.9334879,2.791258,58.80912,60.558876,62.3712,64.105804,65.63655
7,--,150.0,2.62203,0.861928,0.901644,83.2021,2.52702,0.85532,74.572,1.29272,0.462497,60.515,1.64606,1.01171,1.4588233,347.7201,85.537865,71.963615,1.0,1.2927628,350.14835,48.78818,61.87683,1.4445271,356.35284,90.162415,6.9692135,1.3079423,340.7435,100.0,16.84787,1.9596921,333.665,2491.8923,1.6460638,343.9861,2491.6018,6.969229,71.96273,0.2124186,0.0063074436,0.05949611,0.72177786,0.11626533,0.72643745,0.15729722,0.0,0.65612596,0.0075459736,0.33632806,0.0,0.16368224,0.6140361,0.2222817,0.0,100.000015,100.0,100.0,100.0,100.0,82.54852,59.441208,47.73579,45.18449,49.89575,313.57364,150.0,47.036045,85.98595,0.5474858,47.14842,0.790513,46.48524,36.388397,2.9991121,3.64671,3.0165992,2.6946025,2.6196203,2.9988425,10.761186,0.010428682,0.003297151,0.004667702,2.5013373,1.6747451,67.07314,69.32625,72.19967,74.79149,77.078835
8,--,150.0,1.7666,0.983519,0.982013,67.6825,3.68956,0.545865,63.2362,1.99067,0.47741,55.1141,2.80439,0.925964,2.146501,336.3858,54.587482,93.01462,1.0,1.9907099,338.2298,46.598804,87.107216,1.9160625,340.83255,98.20111,2.9054282,1.8432922,331.4099,100.0,8.790254,3.1617596,328.2641,2539.16,2.8043892,335.5854,2538.0083,2.905429,93.01462,0.31592706,0.0016723592,0.035219304,0.6471813,0.15281987,0.7883679,0.058812186,0.0,0.8544201,0.0010279351,0.14455195,0.0,0.19808389,0.74309015,0.05882597,0.0,100.0,100.0,100.0,100.0,100.0,53.38645,43.832268,40.1855,40.32789,47.485703,313.6009,150.0,47.040134,86.04815,0.5466909,48.00956,0.8279106,54.95235,32.368744,2.839565,3.6606314,2.9696395,2.6768556,2.4689693,2.4201992,6.6051407,0.012518659,0.0036006074,0.0063752737,3.663555,1.5800943,58.411343,59.503757,61.20424,63.09508,65.17057
9,--,150.0,3.25999,0.964053,0.681526,70.089,3.98321,0.919249,68.8771,2.3919,0.439399,79.3712,2.60978,1.2958,2.5683026,342.02725,91.9248,103.82383,1.0,2.3919559,354.2086,88.89403,103.7059,3.163291,343.23898,68.15267,4.652926,3.0994241,353.31232,82.57814,4.8287497,2.8840744,352.5212,2401.5637,2.609786,350.0053,2409.7092,4.6529245,103.82435,0.8685639,0.004269897,0.12716623,0.0,0.1349561,0.6811711,0.1838728,0.0,0.9300256,0.0024897174,0.06748473,0.0,0.18807846,0.70555586,0.10636567,0.0,80.24809,92.75369,93.8488,88.75335,82.449165,72.75103,79.94921,87.52588,91.72792,89.954666,370.2998,150.0,55.54497,87.53028,0.63484025,27.273468,1.1709633,15.01698,89.82074,10.118841,8.802124,11.917897,11.77228,9.717867,7.8656635,0.8371749,0.036121506,0.01401312,0.021809774,3.8885462,3.7301803,79.187325,80.86282,81.43394,81.60485,81.35623
