corrected_massflow_g_s,pressure_ratio,efficiency
55.27375753599998,1.091330664,0.345
50.37736276799998,1.1109728360000002,0.33
41.983543151999996,1.1112041480000001,0.32
30.09229868799999,1.1115318379999999,0.309
18.201054223999993,1.1118595299999998,0.24
5.610324799999988,1.1122064959999998,0.193
97.65361130400001,1.285381456,0.505
76.669062248,1.305466976,0.499
56.383998168000005,1.3157795979999998,0.475
39.596358936,1.3259958419999998,0.437
24.207689623999997,1.3361735339999998,0.367
11.616960200000001,1.3365204999999998,0.317
138.662474104,1.5475919399999998,0.586
116.278955128,1.5774696320000001,0.588
98.092345944,1.5974780480000002,0.571
66.61552237600002,1.6178527059999999,0.522
48.428913208,1.61835388,0.445
30.941788999999996,1.61883578,0.429
169.74653126,1.8780970460000002,0.641
143.86558742,1.9568392220000002,0.643
121.48206842800002,1.9769632919999998,0.646
103.29545926,1.987218088,0.629
76.71503046000001,1.987950574,0.589
49.4351167,1.988702334,0.497
212.58720864000003,2.307794,0.655
188.10523472,2.347794,0.67
167.12068576000001,2.427794,0.674
129.34849745600002,2.467794,0.672
93.67476408000002,2.487794,0.646
73.3897,2.467794,0.556
249.18179301600009,2.85093398465952,0.657
219.80342437600004,2.910265298,0.673
197.41990533600003,3.008418338,0.688
164.54411173600002,3.097106894,0.695
131.668318296,3.088259242,0.69
102.98943460000001,3.059788692,0.644
268.24325946,3.4153332319999996,0.679
229.77158617999996,3.6017122039999996,0.69
202.49167241999996,3.7097537939999996,0.704
181.50712345999997,3.7883610400000003,0.716
160.52257434,3.8084465599999997,0.701
140.93699529999998,3.818739906,0.682
302.26562402000013,4.0675728939999996,0.675
285.47798466000006,4.292368796,0.68
267.99086050000005,4.409894144000001,0.698
240.01146178000008,4.547215874000001,0.72
214.83000290000004,4.625938774,0.713
184.75214930000004,4.695042986000001,0.692
325.56077891999996,4.447462934000001,0.668
313.66953443999995,4.63310942,0.68
301.77828995999994,4.769987803999999,0.695
282.19271091999997,4.955846326,0.719
244.42052259999997,5.093437917999999,0.712
211.54472899999996,5.230894579999999,0.701
