Power Constraint (kW),Specified Cell Count,Flight Level (100x ft),current_A (Value),cathode_rh_in_perc (Value),stoich_cathode (Value),pressure_cathode_in_bara (Value),temp_coolant_inlet_degC (Value),temp_coolant_outlet_degC (Value),current_A (Lower Bound),cathode_rh_in_perc (Lower Bound),stoich_cathode (Lower Bound),pressure_cathode_in_bara (Lower Bound),temp_coolant_inlet_degC (Lower Bound),temp_coolant_outlet_degC (Lower Bound),current_A (Upper Bound),cathode_rh_in_perc (Upper Bound),stoich_cathode (Upper Bound),pressure_cathode_in_bara (Upper Bound),temp_coolant_inlet_degC (Upper Bound),temp_coolant_outlet_degC (Upper Bound),Hydrogen Consumption (g/s),Cell Voltage (V),System Power (kW),Compressor Power (kW),Stack Power (kW)
65.0,500,80,187.4034,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.9789,0.7149,64.92,2.07,66.99
65.0,500,100,188.0578,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.9823,0.7169,64.92,2.49,67.41
20.0,500,100,55.2763,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.2887,0.7474,19.93,0.73,20.66
65.0,500,120,189.9787,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.9924,0.7143,64.92,2.93,67.85
70.0,400,0,252.2135,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.054,0.6979,69.92,0.49,70.41
70.0,400,20,252.4574,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.055,0.7015,69.92,0.92,70.84
70.0,400,40,254.6401,100.0,1.4,1.1,60.0002,65.0002,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.0641,0.6998,69.92,1.36,71.28
70.0,400,60,256.3804,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.0714,0.6995,69.92,1.82,71.73
70.0,400,80,258.8562,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.0817,0.6973,69.91,2.29,72.2
70.0,400,100,261.2738,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.0918,0.6954,69.91,2.77,72.68
70.0,400,120,263.3367,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.1005,0.6946,69.91,3.25,73.16
70.0,450,0,220.257,100.0,1.4,1.1,60.0001,65.0002,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.0355,0.7103,69.92,0.48,70.4
70.0,450,20,223.6678,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.0515,0.7038,69.92,0.92,70.83
20.0,500,120,55.7891,100.0,1.4,1.1,60.0001,65.0002,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.2914,0.7452,19.93,0.86,20.79
70.0,450,40,223.0143,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.0484,0.7101,69.92,1.34,71.26
70.0,450,60,225.3154,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.0593,0.7073,69.92,1.8,71.72
70.0,450,80,227.8003,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.0709,0.7041,69.92,2.26,72.18
70.0,450,100,227.6743,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.0704,0.7089,69.92,2.71,72.63
70.0,450,120,231.2753,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.0873,0.7027,69.91,3.21,73.13
70.0,500,0,197.4951,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.0316,0.7129,69.92,0.48,70.4
70.0,500,20,199.6179,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.0427,0.7097,69.92,0.91,70.83
70.0,500,40,200.999,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.0499,0.7091,69.92,1.35,71.27
70.0,500,60,200.1628,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.0456,0.7164,69.92,1.77,71.69
70.0,500,80,202.1198,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.0558,0.7139,69.92,2.23,72.15
25.0,400,0,84.5136,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.3532,0.7422,24.93,0.16,25.09
70.0,500,100,204.0233,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.0657,0.7118,69.92,2.7,72.62
70.0,500,120,203.6189,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.0636,0.7176,69.92,3.14,73.06
75.0,400,0,270.6335,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.1309,0.6969,74.92,0.52,75.44
75.0,400,20,272.408,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.1384,0.6966,74.92,0.99,75.91
75.0,400,40,276.136,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.1539,0.6916,74.91,1.48,76.39
75.0,400,60,275.1244,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.1497,0.6985,74.91,1.95,76.86
75.0,400,80,281.3371,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.1757,0.6878,74.91,2.48,77.4
75.0,400,100,279.0204,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.166,0.6977,74.91,2.95,77.87
75.0,400,120,282.8965,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.1822,0.6929,74.91,3.49,78.4
75.0,450,0,238.3165,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.1204,0.7034,74.92,0.52,75.44
25.0,400,20,85.0305,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.3553,0.742,24.93,0.31,25.24
75.0,450,20,238.6314,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.1219,0.7068,74.92,0.98,75.9
75.0,450,40,241.9008,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.1372,0.7016,74.92,1.46,76.38
75.0,450,60,242.7609,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.1413,0.7035,74.92,1.94,76.85
75.0,450,80,245.305,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.1532,0.7007,74.91,2.44,77.35
75.0,450,100,246.8969,100.0,1.4,1.1,60.0,65.0002,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.1607,0.7007,74.91,2.94,77.85
75.0,450,120,247.637,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.1642,0.7031,74.91,3.44,78.36
75.0,500,0,213.1432,100.0,1.4,1.1,60.0001,65.0002,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.1134,0.7078,74.92,0.52,75.44
75.0,500,20,213.6973,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.1163,0.7103,74.92,0.97,75.89
75.0,500,40,215.6994,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.1267,0.7081,74.92,1.45,76.36
75.0,500,60,217.0729,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.1339,0.708,74.92,1.92,76.84
25.0,400,40,85.9391,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.3591,0.7385,24.93,0.46,25.39
75.0,500,80,219.1715,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.1449,0.7057,74.92,2.42,77.34
75.0,500,100,219.3763,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.1459,0.7095,74.92,2.9,77.82
75.0,500,120,221.0102,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.1545,0.7088,74.91,3.41,78.33
80.0,400,0,291.4823,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.2181,0.6903,79.91,0.57,80.48
80.0,400,20,296.556,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.2393,0.6828,79.91,1.08,80.99
80.0,400,40,296.0106,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.237,0.6883,79.91,1.59,81.5
80.0,400,60,297.201,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.242,0.6899,79.91,2.11,82.02
80.0,400,80,300.5052,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.2558,0.6869,79.91,2.65,82.56
80.0,400,100,301.4515,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.2597,0.6892,79.91,3.19,83.1
80.0,400,120,305.4328,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.2764,0.6849,79.91,3.77,83.68
25.0,400,60,87.0657,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.3638,0.7334,24.92,0.62,25.54
80.0,450,0,257.8956,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.2124,0.6935,79.92,0.56,80.48
80.0,450,20,258.4935,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.2152,0.6961,79.92,1.06,80.98
80.0,450,40,259.5199,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.2201,0.6977,79.92,1.56,81.48
80.0,450,60,261.3908,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.2289,0.6971,79.91,2.08,82.0
80.0,450,80,262.3236,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.2332,0.6991,79.91,2.61,82.52
80.0,450,100,264.0193,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.2412,0.6991,79.91,3.14,83.06
80.0,450,120,266.7411,100.0,1.4,1.1,60.0,65.0002,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.254,0.6966,79.91,3.71,83.62
80.0,500,0,228.083,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.1914,0.7056,79.92,0.55,80.47
80.0,500,20,229.8749,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.2008,0.7044,79.92,1.05,80.97
80.0,500,40,231.602,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.2098,0.7035,79.92,1.55,81.47
25.0,400,80,86.6524,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.3621,0.7412,24.93,0.77,25.69
80.0,500,60,232.9977,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.2171,0.7037,79.92,2.06,81.98
80.0,500,80,235.4325,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.2298,0.701,79.92,2.6,82.51
80.0,500,100,235.5081,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.2302,0.7051,79.92,3.12,83.03
80.0,500,120,237.0787,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.2384,0.705,79.92,3.66,83.58
85.0,400,0,312.0422,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.304,0.6852,84.91,0.6,85.52
85.0,400,20,313.0235,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.3081,0.6873,84.91,1.14,86.05
85.0,400,40,317.2929,100.0,1.4,1.1,60.0001,65.0002,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.3259,0.6824,84.91,1.7,86.61
85.0,400,60,315.6276,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.319,0.6903,84.91,2.24,87.15
85.0,400,80,320.6037,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.3398,0.6842,84.91,2.83,87.74
85.0,400,100,323.5631,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.3521,0.6825,84.91,3.42,88.33
25.0,400,100,87.0178,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.3636,0.7425,24.92,0.92,25.85
85.0,400,120,327.0174,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.3666,0.68,84.91,4.04,88.95
85.0,450,0,273.0381,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.2836,0.696,84.92,0.6,85.51
85.0,450,20,275.3275,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.2944,0.6945,84.92,1.13,86.04
85.0,450,40,277.2658,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.3035,0.694,84.91,1.67,86.59
85.0,450,60,280.1505,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.3171,0.6913,84.91,2.23,87.15
85.0,450,80,281.7746,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.3247,0.6917,84.91,2.8,87.71
85.0,450,100,284.3283,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.3367,0.6901,84.91,3.39,88.3
85.0,450,120,285.2103,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.3408,0.6925,84.91,3.96,88.87
85.0,500,0,243.6934,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.273,0.7018,84.92,0.59,85.51
85.0,500,20,246.2554,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.2863,0.6988,84.92,1.12,86.04
25.0,400,120,88.1006,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.3682,0.7381,24.92,1.09,26.01
85.0,500,40,247.108,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.2908,0.7007,84.92,1.66,86.57
85.0,500,60,247.3681,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.2922,0.7043,84.92,2.19,87.11
85.0,500,80,250.2854,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.3074,0.7006,84.91,2.76,87.68
85.0,500,100,252.8934,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.321,0.698,84.91,3.35,88.26
85.0,500,120,252.8667,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.3209,0.7025,84.91,3.9,88.82
90.0,400,0,333.7001,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.3945,0.6784,89.91,0.65,90.56
90.0,400,20,338.1424,100.0,1.4,1.1,60.0001,65.0002,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.4131,0.6738,89.91,1.23,91.14
90.0,400,40,337.706,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.4112,0.679,89.91,1.81,91.72
90.0,400,60,343.0811,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.4337,0.6729,89.91,2.43,92.34
90.0,400,80,343.7098,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.4363,0.676,89.91,3.03,92.94
25.0,450,0,75.2525,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.3538,0.741,24.93,0.16,25.09
20.0,400,20,67.9129,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.2838,0.7427,19.93,0.25,20.17
90.0,400,100,341.5136,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.4271,0.6846,89.91,3.61,93.52
90.0,400,120,348.6842,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.4571,0.6755,89.91,4.31,94.21
90.0,450,0,290.3332,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.3649,0.6931,89.92,0.63,90.55
90.0,450,20,294.4513,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.3843,0.6877,89.91,1.21,91.12
90.0,450,40,295.487,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.3892,0.6896,89.91,1.78,91.69
90.0,450,60,300.2097,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.4114,0.6833,89.91,2.39,92.3
90.0,450,80,300.0898,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.4108,0.6879,89.91,2.98,92.89
90.0,450,100,302.9861,100.0,1.4,1.1,60.0001,65.0002,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.4244,0.6859,89.91,3.61,93.52
90.0,450,120,307.266,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.4445,0.6811,89.91,4.27,94.18
90.0,500,0,259.4443,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.3552,0.698,89.92,0.63,90.55
25.0,450,20,75.5001,100.0,1.4,1.1,60.0003,65.0003,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.3549,0.7428,24.93,0.31,25.24
90.0,500,20,262.2588,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.3699,0.6948,89.92,1.19,91.11
90.0,500,40,263.4897,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.3764,0.6959,89.92,1.77,91.68
90.0,500,60,264.8694,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.3836,0.6967,89.91,2.35,92.26
90.0,500,80,266.6841,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.3931,0.6964,89.91,2.94,92.86
90.0,500,100,267.6955,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.3983,0.6982,89.91,3.54,93.46
90.0,500,120,271.2431,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.4169,0.6939,89.91,4.19,94.1
95.0,400,0,354.4643,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.4813,0.6742,94.91,0.69,95.6
95.0,400,20,358.9785,100.0,1.4,1.1,60.0,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.5001,0.6701,94.91,1.31,96.22
95.0,400,40,359.1347,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.5008,0.6741,94.91,1.93,96.83
95.0,400,60,363.8907,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.5207,0.6697,94.91,2.58,97.49
25.0,450,40,75.8072,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,0.3564,0.7441,24.93,0.46,25.38
95.0,400,80,367.1426,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.5342,0.6683,94.91,3.24,98.15
95.0,400,100,368.9976,100.0,1.4,1.1,60.0001,65.0001,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.542,0.6695,94.9,3.91,98.81
95.0,400,120,372.3455,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.556,0.6681,94.9,4.6,99.5
95.0,450,0,312.1323,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.4674,0.6806,94.91,0.68,95.59
95.0,450,20,312.0464,100.0,1.4,1.1,60.0,65.0,50.0,100.0,1.4,1.1,60.0,60.0,2000.0,100.0,1.4,3.0,90.0,90.0,1.467,0.685,94.91,1.28,96.19
